0,1,2,3,4,5,6,7
-0.41732064,4.9080496,7.6070547,-0.9964217,7.6713934,9.125432,5.348948,3.2544005
6.8436556,9.223157,2.616085,-4.4508133,4.970619,9.81513,9.65665,5.4957004
3.2763307,2.7793067,1.0735002,2.6354818,2.6589508,4.533602,20.66803,1.4189065
10.025599,5.922036,3.654606,-3.3485315,7.474036,6.8475795,8.43736,7.213573
7.6079774,8.338347,3.3142128,-1.7178398,8.350751,11.498068,15.62773,1.3270696
2.5866878,-4.8309155,5.494891,4.83741,3.546084,6.2286863,4.237109,2.2338285
-0.78453815,-3.842651,-1.1793901,-2.64324,-0.7766965,-2.3013623,11.4413805,-5.609967
8.930923,7.699093,2.194294,-3.7836556,3.8461363,11.2973175,14.701528,4.611458
4.2338204,9.565722,0.26617667,-3.295183,6.129769,10.720063,14.088862,4.6443644
5.1706934,7.66702,3.958037,-5.0373588,5.1137505,11.158331,12.756747,1.129994
7.678435,10.062057,0.9761191,-1.4430655,10.645273,9.370389,5.675117,5.221588
4.699671,-1.2472762,-3.93123,-1.8383007,3.274959,12.669253,4.245788,0.17270114
9.169151,5.422248,-2.2520952,0.06041558,8.262232,7.2868156,3.8087401,4.384738
-1.5443856,5.173654,-0.020155644,-0.5989135,-2.104007,6.4233246,12.6377735,-1.9655218
-2.2591426,0.8140644,3.144285,-5.3970284,8.417681,-3.9581387,5.9213676,-1.9782985
-0.42105943,4.583662,-1.569189,-0.2885772,6.6049237,10.622164,7.8920016,-2.2998855
0.5298774,6.5619144,0.9205322,2.7342792,4.8084316,6.462919,12.075872,-3.061397
-1.0993743,6.33326,-2.279473,-2.2353575,5.314217,8.499539,10.393324,0.24795084
0.07287601,6.016154,0.45591745,3.1256928,4.033052,8.113578,9.663854,1.1757164
0.8189928,6.1693225,-0.35694036,0.7099511,8.79488,9.031353,11.40725,-0.42805508
2.7092128,3.8956962,0.4636052,4.3554616,6.3235145,8.819174,9.842754,-2.0451977
3.5647266,5.673988,3.6318245,2.4902034,5.809249,7.002482,11.26263,-2.0314596
-0.53264064,1.2399919,-2.732717,-1.3814795,-5.4095626,-0.7482678,0.12518267,8.450935
0.7437344,-0.21187249,-0.3782449,0.74383265,-6.6039596,-0.08027399,3.4738903,6.533968
2.1311505,2.736891,2.6077764,-4.331839,7.6056476,9.070249,5.321963,2.5067565
2.0254116,2.552592,1.231419,2.2773523,8.375261,-2.7540672,10.163123,-0.12235763
