0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-2.8890343,1.1042917,-0.09675629,2.1281035,-1.3449442,-4.9322004,3.2611358,-1.4656404,-3.3599386,0.5070964,-1.8984468,0.06503825,0.023930654,-1.2959763,4.870275,1.3104798,-5.663492,-3.9704468
-1.3555366,1.4440881,-0.08310445,2.1137586,-2.4587703,-8.260131,4.894773,-0.6437138,-9.506091,0.17772709,0.64351565,-0.19415833,0.06439197,-1.4929391,2.5993705,0.92980397,-4.8237767,-1.6176593
-2.6271484,1.235345,-0.11003428,1.2050116,-2.1014988,-3.9218001,1.2493783,-1.9229207,-1.7753704,-0.14541297,-4.6738114,-0.07782081,0.10229066,-1.7635242,7.035809,0.5322379,-4.787719,-3.3946896
-2.30284,2.1878452,0.035711695,1.9070237,-2.1157084,-6.1662393,2.9481328,-0.8562035,-2.4510436,-0.3115926,0.89525896,-1.7029709,0.0766883,-1.9921472,2.6287813,-0.21667096,-3.700408,-1.894873
-4.475809,1.1392243,-0.2318173,1.5166181,-2.118838,-3.779381,1.7768666,-2.4010408,-1.2470391,0.2141156,-3.6377041,-0.027898313,0.09843308,-2.0499043,9.672278,0.46258703,-7.139478,-5.4728274
-0.8184285,2.9576995,0.6020968,2.726663,-2.0997033,-2.5765355,2.2411947,-6.443423,-2.8112738,2.4823923,-3.6509948,-0.116912864,0.04469346,-0.47348043,1.5782909,0.8908033,-1.5389149,-0.58727497
-1.1079968,-1.0442662,-3.42435,-0.41618094,0.6068387,2.271688,0.22067983,-1.4665201,1.8066298,-1.3515743,-3.1847365,0.24873656,0.027784148,-1.3680793,2.309182,0.16124609,-0.51660806,-1.307562
-0.2854061,-0.1795116,-0.5804788,1.2589022,-2.2617035,-4.4569306,0.36258397,-4.3791714,-5.5463815,-0.5299336,-1.844535,0.12218376,0.052905094,-1.772563,1.1278765,1.6305219,-0.5002694,-0.6962839
-0.24594396,2.40067,-4.8074937,1.2902619,-1.3238457,0.21729988,-0.049072526,-0.15017617,-1.6040821,-1.8611276,-0.1380801,-0.13052228,-0.15703592,-1.1592647,-0.97314155,0.061633173,-0.37208685,0.09000085
0.13160396,1.2011985,-2.1043043,2.0781994,1.6200625,-4.161487,0.8521098,-0.34186924,-1.5619597,0.24097806,-0.61770034,-0.032110382,0.78547263,-4.180087,-0.24579354,0.35698184,0.37084714,-0.092280716
-0.50840044,1.3393202,-0.16810448,1.4075713,-1.5751933,-3.234901,7.4223213,-1.0517482,-7.5187707,-0.16991597,-2.7997293,-0.9286219,-0.14419095,-2.010995,1.633519,2.558375,-1.5008311,-0.6004759
-0.5825048,1.9729282,1.6974795,1.3148843,-1.5843974,-1.8086346,-0.25940758,1.3470547,-5.1547403,0.97083837,-0.7731389,-0.412088,0.05842534,0.9998829,1.3752172,1.530002,-1.1939207,-0.24962242
-0.89362305,1.3493928,-0.23792268,-0.06238847,0.16221657,0.36190137,-2.3489609,0.017390257,-2.569622,4.2954807,0.030917365,-0.11667202,-0.0011359327,0.29778057,2.6481326,0.780912,-0.2970016,-0.80028003
-0.71218425,5.022975,0.13074405,0.8339387,-1.6430376,-2.1484735,-0.0628646,-0.7275564,-6.425908,0.46648356,-0.70613545,-0.21531531,-0.003112243,1.8358667,1.7688959,2.3792315,-1.2581573,-0.66592026
0.085657686,0.31353122,-0.65621924,3.2973995,-3.887597,-3.3143904,4.726174,-0.8498728,-4.866194,-0.3088867,-1.4635231,-1.0239855,0.01790234,-0.5457748,0.5072048,0.0030847695,-4.6738954,0.15105881
-0.3191649,1.589785,-0.60744,1.0493594,-2.1460674,-3.3060195,0.91845906,2.6137893,1.5837715,-0.24398793,1.3621001,0.049807955,0.14869633,-3.7184758,0.8306871,0.3661602,-2.9857175,-0.45931506
0.47800383,0.07242162,0.90357745,3.2816808,-5.399314,-4.870206,1.5027437,-5.462261,-0.666671,-0.10339758,-9.586079,-0.02046629,-0.10782513,2.1792614,0.093496,-0.27977905,-3.0308666,-0.38466045
0.10802086,3.3726661,-0.72551674,-0.7138906,0.7825163,1.6221045,-0.7411256,-4.1778517,-4.7990136,0.2925624,-2.871693,-0.2063429,0.18649986,-3.3876271,-0.50964785,2.4524581,3.4527528,0.328479
-1.014219,2.5850978,-2.221656,3.0964262,-2.5928266,-3.6835208,1.5126017,-4.753168,-2.8703537,-1.094625,-10.99304,-0.11409935,0.6592854,-8.502619,2.5221493,0.90316904,-2.684424,-1.1344533
-0.33665535,5.4536915,-4.6556287,1.7368839,-1.7292796,-2.3438747,1.1647586,-1.2723289,-3.9589677,-4.144648,-1.8633231,-0.07161908,0.40545157,-7.0936093,0.87651825,0.7693296,-1.2924455,-0.2902147
-0.8945089,5.194356,-2.2634776,5.2536635,-5.5777564,-7.900684,2.7832808,-3.1451235,-6.03341,-1.8753974,-4.8944573,-0.24652046,0.48617247,-10.829964,2.2559133,1.9946027,-4.4179287,-1.0134676
-0.98600495,0.1536192,-0.36522904,3.8829024,-4.847601,-9.406519,0.6391931,-4.137493,-0.65039533,-0.18958838,-1.3461056,-9.5667914e-05,0.07646747,-1.5953339,2.617462,0.14509584,-3.2386146,-0.9701184
