0,1,2,3,4,5,6,7,8,9,10
-0.7464744,12.772688,5.794981,-1.3798043,-0.1702842,0.61270624,4.0990863,-0.028047437,3.6020625,0.7152917,-1.5802069
0.13185436,12.612952,7.9825706,-0.17449312,0.40123948,0.12899749,3.075166,-0.09105525,-0.5711688,-0.23676743,-2.2407396
-1.8179772,14.251402,6.144972,-3.1535037,0.49202406,2.017201,1.7784404,-0.0879933,0.20599088,1.2176096,-1.6290897
0.52135265,10.976553,8.217673,-3.388363,1.0709339,1.2529896,2.5821114,1.9078264,1.928319,-0.61468405,-1.3308686
-0.5590794,9.601464,4.7563715,-5.7727356,-0.64713234,0.32904932,3.0941637,0.118665256,2.5002422,3.2073853,-2.556062
-1.8709253,14.074631,4.629631,-0.6825188,2.035562,-2.2014256,2.6987529,-0.16928925,0.3507428,1.8474003,-1.9965487
-0.3735494,7.516362,4.085963,-3.524217,0.21354344,-0.07899099,3.8780713,1.6570868,4.5605426,1.6346468,-0.49696237
-2.129953,15.49882,4.6171846,-0.069007635,-1.0420269,-0.7067594,4.723341,0.31742805,-0.25357285,0.9127507,-4.82049
-0.8445636,9.813697,3.9699798,-4.0723577,0.9399719,-1.9966971,3.9708052,2.2472274,0.5142145,1.7227494,-1.2306513
-1.7482352,19.61607,4.1540675,-0.1919674,0.04974591,-0.52946496,3.9321895,-0.18372586,-0.24298841,1.06806,-2.4600213
-2.937714,-4.7084026,8.360343,-1.6682575,0.45434564,4.7689962,6.1077423,-0.42006075,-0.35621276,1.5291057,-6.0730224
-5.752854,-3.6254601,0.32588312,0.3249315,-0.7474102,-0.583649,2.5276215,-0.06255439,-0.15518802,4.44452,-0.66271335
-1.0014807,-0.094000086,3.7115884,-4.8670144,5.454026,6.335288,6.1006913,-2.4823475,0.103899874,1.307916,-1.6331826
-1.1932089,0.7722594,-0.992781,-1.1084828,4.6589074,-1.4387485,-2.0710979,-1.1304939,0.40297046,-2.661812,-6.1413865
-4.8729444,-1.294695,4.468176,-7.1600566,2.3702157,4.468545,1.5963374,-0.56594056,0.24931851,0.26028642,-3.0516288
-3.8202045,9.699259,5.5065556,-2.4385545,-0.5980954,-3.2566204,-2.132435,-0.8581542,0.6083944,0.9173272,-2.7683485
-0.71214813,-2.559329,4.634542,-1.5995717,2.8507442,2.076272,3.7199326,-3.7385867,0.21115553,1.5854883,3.0848675
-3.7459555,-3.4060144,3.1510653,1.2786444,-1.6469961,-0.032419905,2.036697,1.8983198,-2.8774383,-0.34187502,3.9098835
-0.9363261,-2.4250119,6.0042343,-4.119296,0.83724725,1.7293164,4.933463,-1.4982911,-0.0888375,1.7564075,4.638705
-1.9869845,7.823151,0.16943768,1.1854707,-2.3897932,5.3032475,2.7063394,-1.9037212,-1.4865359,2.394009,-3.4145195
-1.5528423,3.5788789,3.4124517,4.5700803,-2.4425657,-3.4634411,5.155437,0.17982839,1.1023971,2.0809224,-3.8991692
