0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2.8544166,-0.1694706,0.09838926,1.3708678,-0.04243006,-0.07121258,-0.66033804,0.052478343,-0.97996026,-2.6752348,0.03131056,-2.3815486,0.24817951,2.499805,0.33357853,-1.5540813,0.042889383
-1.5104027,-0.057769857,0.16865264,-1.1524339,1.1560851,-0.09186763,-1.3251476,-0.03225514,1.1245799,-0.21113239,-0.023199346,0.15431948,1.5274825,-8.670421,-1.6573652,0.009436535,-0.08907599
4.1265774,-0.22034913,0.18737161,2.7602613,-0.44115937,0.095140904,-1.6086107,-0.71762866,-0.5030693,0.18877944,-0.6354159,0.20531023,-1.7808361,-5.8185954,-1.8703747,-2.1280408,0.41726053
1.9821962,0.057957105,0.021613397,1.4355408,0.38816154,0.16904865,-0.12987864,-0.34961665,0.17789052,-3.3247774,-3.151085,1.3217785,-0.7303011,6.915691,0.23881753,-2.372502,0.9416499
4.726112,0.6934661,0.3600322,-0.119941026,1.3968612,0.17220245,-3.8614259,-2.4625833,-0.80374646,-3.4386919,-1.7179431,1.8861877,1.9808296,-4.4385467,-2.874774,-1.8931055,0.7432383
0.2162581,0.052646033,0.013634496,-2.9245105,-0.019619204,0.04213334,-0.17292503,0.031341884,-4.373811,-1.0487921,-0.48626265,1.0981469,0.07086959,2.326042,0.3926197,-9.499603,0.94875497
-1.885004,0.2663411,-0.022410626,-2.8230352,-0.789962,0.030198982,-0.29622498,-0.18470277,-6.3846803,-3.42971,0.16191015,1.3329408,0.0617507,-2.205706,0.22248623,-2.943592,0.16639043
1.032526,-0.04918833,0.07366898,-3.483935,-2.1589718,0.15595372,-0.54561645,0.17129001,-3.932744,-0.65507513,-0.9168489,1.3695045,0.12852702,-2.1994867,0.67660654,-4.1113214,0.557071
-0.072218046,0.035476673,-0.0011310139,-3.4014366,-0.15443633,0.012710042,-0.06194374,0.6365642,-4.6560907,-2.4107358,-0.3196328,0.8259874,-0.042809013,4.2603674,-0.17721492,-5.3985763,0.13336086
1.7174308,-0.22249186,0.15746811,-2.5618153,0.9688665,0.16878937,-1.302357,-0.40327582,-1.5363388,-8.637854,-2.0820239,3.5438085,-0.05593641,4.524429,-0.3420706,-7.6441035,0.3241232
1.1247865,0.070959054,0.4376243,-2.199401,0.2738066,-0.8144982,-0.9664385,0.388525,-2.5492296,-8.634143,-0.84625113,4.7367444,-0.23385558,2.3857024,-1.6351665,-5.0510635,2.082432
1.4377896,-0.16169666,0.1377063,-4.424684,0.74219763,0.16949637,-0.91844624,-0.069755025,-4.448175,-7.961868,-1.7149259,2.1720927,-0.018921657,3.1162033,-0.14225292,-5.46704,0.8417391
0.6396241,-0.40660092,0.24830441,-1.5046972,0.6046595,0.093098365,-0.8036209,-0.33449414,-0.59133166,-9.212063,-2.0763564,1.7577851,-0.18340062,1.9837912,-1.1162863,-6.89577,3.1499274
1.6425458,-0.17416704,0.10635622,0.022221396,2.0582223,0.3237981,-1.0759248,0.018406352,1.424291,-8.180152,-3.5356688,4.486706,0.074410886,2.2358322,-0.1324281,-9.346135,1.0099118
1.8145202,-0.08518533,0.20594439,-6.2290287,0.6350156,-0.021146666,-1.8362203,-0.091827236,-1.0040983,-8.303379,-1.5975484,4.96059,-0.15863855,2.4453735,-0.31761605,-5.6955714,0.7570331
1.6691997,-0.1045412,0.11798673,-0.20143437,0.77197117,0.40152973,-1.1555444,-0.17521705,-2.591118,-7.888653,-4.164168,4.6786156,0.046050973,2.4590826,-0.07304577,-10.895483,1.2081429
3.5323727,-0.22117968,0.19068715,-4.3247194,1.6219957,0.023289101,-2.7113776,-0.33150107,-3.759189,-8.502306,0.34711164,5.85468,-0.045600045,1.5917053,-0.12433298,-4.8412046,-0.12679248
