0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.90101695,-0.19163662,0.31600136,1.039461,0.89573824,0.89883727,6.7343073,1.4595933,1.3045772,5.7401996,-0.7107414,1.6070125,-0.48859695,0.026840229,-0.2978862
2.9099617,1.787598,-2.9470816,1.9357947,3.3873804,3.0946462,5.6694984,1.9442183,-1.1972588,0.5601165,-2.0005968,2.1236508,-2.0724483,-0.057604257,-2.657246
0.4239645,0.61136436,-3.5657792,2.3412993,2.4324558,-0.8227021,8.51715,2.4825766,-0.04591072,1.9855701,-0.99442196,2.6385179,-2.7866082,-4.1666074,-0.21069105
1.0399668,0.41369686,-4.4490223,2.6816478,3.0193682,-1.4922459,8.060018,4.731841,-4.068076,1.5201402,-2.8055222,2.5282943,-2.6544673,-2.7383208,-0.34315783
0.83405346,0.43513304,-4.7056885,1.7889537,3.9674807,-1.4511256,12.25448,4.0684404,-1.0009453,1.6138968,-2.203246,2.2711883,-3.5549662,-2.196818,-0.33744967
0.5790262,0.5693711,-3.5800424,2.6192226,5.709563,-0.79034054,5.175386,2.6093514,-1.7338619,2.21952,-2.8870516,2.2999861,-2.132725,-3.6603396,-0.22658876
1.9499689,1.229072,-2.9641542,0.32602593,3.9482043,-1.0904261,5.621396,3.5984054,-0.29649886,1.6421778,-1.3166636,2.7980301,-6.0029187,-0.36918733,-0.58681077
0.0929187,0.034540657,-4.938585,1.7301936,2.5429058,-2.5472827,8.219174,3.7555633,-0.36685985,0.49535656,-4.1265326,0.95269006,-5.3540974,-1.802386,0.1027346
0.33914652,0.4971547,-2.6865745,2.4733565,2.9022894,-1.7027105,4.942795,3.315591,-0.4850146,1.6314244,-2.0601354,2.3968172,-10.05811,-0.19725384,-0.31968227
-0.0399605,0.24740876,-4.499757,3.876138,0.73975414,-2.7084208,10.590388,5.8913465,-1.8259676,1.3084017,-5.054501,1.4805082,-3.292536,0.069140114,0.009380202
2.1923027,0.8242944,-2.9836023,0.34038386,3.2426918,-1.9281135,5.6057367,6.422998,-0.29023853,2.1679869,-2.559401,1.4204401,-2.4699848,0.78803015,-0.056356184
0.015150624,0.47839326,-4.6434574,4.583412,2.150853,-1.950327,8.915016,8.989512,-0.54783964,1.334894,-5.1311316,2.2287488,-6.3698077,-0.18281727,-0.23580949
1.6890538,0.049616247,-2.0764365,5.0143046,7.1714535,-3.1504076,0.930618,1.1552314,0.3883283,-0.58210665,-0.8674978,2.4686491,-4.346399,0.005849164,1.627317
0.5919157,0.18990196,-3.2742422,-0.9470354,3.6675045,0.65916556,0.5309106,0.07363475,3.5845075,0.074097514,1.2285328,2.6745453,-0.124083154,0.057743635,-1.5055386
4.4175687,0.2725604,-0.53066874,3.951926,1.9032702,-3.3300016,0.022733137,3.129179,0.035222743,3.3649583,-2.9105647,-1.6445479,-2.461822,0.0103007555,-0.104456834
2.3096902,1.2682222,-1.7895151,-1.6574581,-0.29070368,-4.326799,3.7194028,-4.3146152,0.006871083,0.4370638,0.85427994,1.448505,2.025335,0.04874465,-0.2886858
1.6131799,0.3064553,0.07466582,0.90482974,0.31139874,-6.9584384,-0.6769572,2.0341303,-0.2418152,1.2582301,-0.51974326,-2.8207886,-2.4501998,-0.025279382,0.9882441
0.191103,0.14984176,-2.1536255,7.1065826,2.5240195,-2.051823,3.7970986,3.3834608,-0.3281914,0.40927926,-7.174436,0.8538488,-7.4031286,-0.18475053,-0.1720447
-0.08887554,-0.106605716,0.30784434,-0.4037001,-0.38122404,-10.21786,6.442087,-0.007796068,-0.021914294,-1.1858555,0.1336583,-0.5279439,-0.13831648,0.032847732,2.2561812
-0.038864333,-0.28690746,0.18299995,0.21870743,-9.967303,-6.574486,0.022937912,-0.98929286,0.25440004,-0.5483403,-0.12128211,-1.3332884,1.2167076,0.0006149893,0.040726803
-2.8884187,0.25763813,0.23033403,0.19220535,-6.067963,-5.975916,3.88148,1.5946842,-0.06043909,2.6201975,-0.3098265,-0.10173975,-1.5032439,-0.011620922,1.0692507
0.26812682,0.32546535,-2.571608,0.21319559,0.4614583,-6.1157484,9.501067,-0.01182409,0.2583433,0.9871987,1.5354781,0.5345098,0.24985711,-0.00085336284,-0.42577088
3.075809,-0.05097388,-6.6005526,0.6715119,-0.7143557,-2.084375,2.1445098,2.9463613,0.505244,-0.45330957,-0.32888544,0.62893146,-4.5196934,0.08345991,0.05057195
-1.474237,0.3637662,-6.6749578,1.574897,-1.6279432,-5.873583,9.985609,3.3774025,-1.6015735,1.0018,-0.8641307,2.1791158,-2.3255913,-0.02402528,0.006388816
0.35813326,2.1139038,0.74320996,-0.9471256,3.3591774,3.6142232,-3.7659457,0.47458285,0.9876201,6.7174826,0.99484515,4.0276957,-1.1990585,-0.03933924,1.0909452
0.56344193,1.0060637,0.4490239,2.5184836,4.352073,-10.520227,4.810265,6.4947643,-0.52759266,3.2767758,-2.5827847,5.1742764,-2.3921716,-0.062054068,-0.50913006
8.995118,0.9116446,-1.0518209,2.513708,6.8560452,-3.6122653,1.9165276,3.3717804,-0.5530356,2.5459511,-2.2176118,4.212239,-3.4393947,-0.06541479,-0.30415478
0.86419886,1.6906879,-4.7999563,3.6078029,9.274241,-6.6806746,6.2223945,4.0491643,-0.6204508,3.113865,-2.6907237,5.6094804,-4.0120625,-0.12321927,-0.61740553
2.1343908,0.53800404,-2.5544357,4.6033206,3.5517154,-7.8927116,7.8678765,2.2214358,0.80875665,2.1077857,-3.482952,2.2167878,-2.1799624,-0.10129538,-1.3292838
-2.3109202,1.0401475,-3.1074507,2.3691509,8.474034,-3.1871805,2.9357584,4.3623047,-0.32476503,5.192579,-1.5896713,4.1392765,-4.5121975,-0.22956844,-1.1083314
0.5528604,2.8591757,-3.664974,5.0017424,5.1848936,-6.5938354,5.4897447,6.191913,-0.75424194,5.763281,-3.092148,3.7385588,-5.055544,0.06316256,1.6647998
-1.2111936,-1.1922952,-1.3449224,0.37354684,-5.4708633,-9.694407,3.1452305,0.020980123,-0.4008586,-0.95629,-0.27800268,-1.4225765,0.01257417,-0.011157803,2.6933422
-3.962014,0.14187214,-2.2996676,3.149778,0.22010134,2.8306355,5.526682,1.3289235,-0.52942675,-0.5467983,-2.776326,2.1927655,-1.9853722,-0.12662847,-0.12964891
0.72010297,1.0849253,-2.5868971,4.3372917,6.261299,-6.1056805,4.0447383,9.728098,-0.40378237,3.7399414,-5.3649282,4.806167,-7.2801933,-0.14867176,-0.36327103
0.7938782,1.4595582,-2.7590249,6.024416,3.8574646,-5.429377,4.6987853,6.8449106,-0.60394263,3.9557574,-5.556764,7.837455,-4.3479905,0.026044233,-0.7682933
2.1238718,0.9388055,-6.1527567,4.2539167,5.5136714,-7.772608,2.9650316,6.5994964,-0.09589994,3.3760953,-2.8185987,6.3252125,-4.177058,-0.14090201,0.09336477
2.6368802,1.2574252,-1.0402336,4.3764296,8.421996,-1.0417541,1.2170088,4.4051757,-0.0988596,5.4230223,-2.7189863,8.900399,-4.2056108,-0.05311179,-0.6225526
2.7079897,0.011248563,0.032974537,-0.84988606,6.2302313,-2.7626143,-4.28331,2.9098542,0.6824867,-0.06235676,0.6920097,-0.7010345,-2.2831662,0.0040830723,-3.1370173
1.7335026,1.5196818,-2.207061,7.9343824,7.679283,-1.2819661,2.243271,7.565781,-0.27085525,4.455372,-4.9061146,7.5144405,-6.44369,-0.11965519,-0.55662036
0.7193294,0.14378476,-8.265143,1.2742299,2.3622193,-9.34067,8.179679,2.742083,-1.3354131,0.85879874,-1.3229035,1.2931772,-2.2112944,-0.109059036,-0.08822378
2.059587,0.4525637,-1.6290367,0.38150126,2.569595,2.579969,7.534525,1.5724744,-0.21105208,1.7633554,-2.8584733,3.17088,-1.918024,0.20177142,-0.30091232
1.6942447,0.82964915,-1.6113482,1.2493017,3.6720867,-6.076455,1.948168,7.273197,-0.059509214,4.0051937,-1.5086099,6.2541575,-5.2576604,0.003968694,-1.4896905
-2.2869205,0.40884486,-2.6332495,7.8579493,2.8235593,-6.9021378,3.0209453,5.7561636,-0.4325619,1.9665089,-7.1369267,2.8631568,-4.15623,-0.2266949,-0.59994894
