0,1,2,3,4,5,6,7,8
-3.4711912,2.9906864,15.289154,0.45356932,0.2519932,-1.8068482,1.0968772,-1.060792,6.4447284
-10.166543,0.22945121,7.5799813,-1.5440419,-1.8925507,-6.4258776,-0.25376734,-0.29711416,14.522719
-4.0055976,0.34010115,-1.5622903,-0.15611523,0.7355831,-7.8201785,-4.2331767,-0.27288422,14.962221
-6.368507,-1.5135964,6.7775226,-0.31868193,-3.4420226,-2.641771,-3.2941425,-0.32154262,10.955774
-8.156175,1.5501161,3.9792457,-0.14893346,0.8772134,-7.4262724,-2.3376856,-2.9342499,14.831154
-7.2626038,-0.77845395,-2.7974074,0.736544,4.973034,-5.4169407,4.7476926,1.8647263,0.58230036
5.2291336,-0.049735386,-3.5239134,-0.36318555,-1.527626,-2.3769164,1.1981195,-4.9705133,8.048065
-9.311653,0.24912266,3.8185089,-2.80878,2.2048361,-5.0829124,1.0653824,0.43277627,15.384362
-8.759881,-0.2866634,2.3499737,-1.3820227,-2.4915304,-6.607399,2.0934174,-1.4271727,13.746948
-11.02888,3.362333,2.5083966,-1.9259279,-1.6068567,-6.132442,-1.3037347,0.91395396,13.886511
-6.979228,-1.9401333,8.735679,4.4922285,-1.8332897,-5.6447916,-1.4659106,1.58949,10.65322
-1.3551615,-8.66319,7.1235127,-1.823467,0.1879365,-1.3404334,-0.30956456,0.0013480873,3.8148606
-7.644766,-3.4738085,4.867409,0.2648738,-2.736825,-7.1449504,-6.0960164,0.15638658,7.1412497
-6.6751823,-2.6229327,-6.424319,-0.58138007,-1.0357175,-1.3869318,-1.6405461,0.2914965,10.574988
6.9439282,-2.9195783,2.99436,-0.6850023,1.3998297,0.14918396,-0.42163375,0.81654567,7.4361343
-15.166327,3.0789273,3.290086,-2.4657006,1.4606682,-7.7852597,-2.1300907,-0.37035114,5.688021
-12.503063,1.315447,-0.30240896,-2.996902,-0.017313851,-9.494983,-1.1215453,-3.2645411,7.4430366
-13.36261,-0.93438715,4.811527,-1.527864,0.38715458,-8.209727,-0.28515399,-0.87541336,6.775895
-9.912905,-0.7321885,1.2416974,-5.8295693,-0.3952579,-9.551198,-1.7197082,-0.47123024,6.9855804
-11.945912,2.388956,2.5038922,-4.1544194,1.1385931,-7.336932,1.3926287,0.6727231,7.493468
-11.403455,1.8890878,1.426826,-2.3992918,0.58314973,-11.971325,-1.584856,1.138674,7.519592
-10.79772,1.1023331,-0.36303222,-0.18959248,-2.0013957,-9.941603,-0.28936517,-0.6771645,7.106083
1.1901362,-0.92798406,3.5206907,-2.048109,6.0381002,3.8966653,-5.679281,-0.15095395,3.0143745
3.6633427,-0.24952367,3.6374166,-1.8878422,2.9637492,1.7002162,-4.126707,-3.062787,2.369112
-0.69869024,4.931282,10.634698,0.16608231,-0.58231753,-3.505639,1.8810863,2.0326648,5.8884954
-1.8551848,1.7382555,-2.635337,-1.9024444,-0.38403073,-9.647524,-0.6680512,2.9346344,10.077101
1.8134727,1.5655344,-3.9811156,-1.7170266,1.1064613,-8.721027,-0.29355392,-2.7427788,11.474282
-4.385353,2.7310028,1.1441048,3.1015542,-8.066799,0.7665535,-0.097216465,1.4583826,4.987196
-3.6611,-0.37613478,-2.2580116,-1.0368856,-0.19798021,3.602571,2.8082323,-0.13988434,-5.531464
