0,1,2,3,4,5,6,7,8,9,10,11,12
-0.1263312,0.3440745,-0.065559566,0.6380675,-11.098673,-6.120117,-0.017158177,-0.11425464,0.35550532,0.12399567,1.4419496,0.20291033,2.1928375
-3.3564494,-0.42977807,-4.102681,0.16359308,-2.860452,-1.440753,1.7410421,0.19794613,2.9297774,0.027511733,1.4327066,1.1514038,5.745602
0.14991714,0.091398425,-0.79430115,-1.1566651,-11.330858,-0.419101,0.14342731,0.0609184,0.5852714,-0.0018606683,1.5347661,-0.70304686,0.39822513
0.5942715,-0.26021188,-0.1825684,0.0464691,-7.2271557,-6.7255063,0.0730168,0.45906234,-0.70690286,-0.0054365,-2.1243541,0.8385654,2.0220525
0.7374276,1.1031599,-5.0532403,0.15883882,-11.110905,0.505464,-0.014519023,-0.81013364,0.5091959,-0.20209868,-6.436086,-0.8384332,3.5998566
0.83966076,3.0003667,-5.5973225,-0.786159,-7.2173657,0.18180968,-0.12429216,-0.9469022,0.39458427,1.2866831,-6.2042446,1.6469226,2.9840846
1.1861064,-2.0165474,-5.311923,-1.3777084,-8.175425,0.100485556,-0.527744,-2.0435364,0.4086338,0.946666,-6.205366,1.013224,3.3919044
0.3257963,4.216972,-2.0441666,-1.3252516,-8.757341,0.03384645,-0.2314768,-0.059324767,1.1716176,-0.12853818,-5.5935326,-0.77089363,4.1300297
0.4539238,0.083127856,-1.8737398,4.5297365,-10.246741,-1.7064394,0.69556737,-0.9332999,2.7446096,0.10567048,-5.9426217,-0.15067518,5.8585286
0.2677827,-0.17690589,-7.810709,0.8671644,-8.073202,-0.70647186,0.18248098,0.183375,3.330104,0.009997916,-5.891443,0.5374453,2.8647528
0.053690627,-0.82293177,-1.9213884,3.184823,-12.802121,-1.9701099,0.0019164918,-0.821719,0.63863236,-0.048420575,-9.251708,0.03817712,4.8031363
0.22587255,0.164969,-9.309403,-2.185733,-8.647646,-1.155879,0.061979804,-0.4128967,0.12888785,-0.13332441,-5.208839,-0.06026953,0.5124422
0.20744628,-3.7331998,-1.7821739,2.7171419,-9.083021,-0.7305846,0.21799797,-1.2128584,1.248986,-0.60503244,-7.322596,0.18826175,4.7555776
0.24922122,-0.061578605,-13.6308,-0.5301842,-7.440182,0.1161013,-0.013019981,0.29495034,0.8048756,0.06816984,-4.8064847,-0.12535913,1.5031253
-1.6432539,-0.57069117,-0.9645118,-2.7583146,-7.693066,4.9491367,-0.57297266,4.3838997,-9.380714,1.2544007,-4.9639187,-0.04106777,1.8380463
-2.7084484,-0.7375477,-1.4448774,-1.8234648,0.09023925,5.2995853,0.23723498,-3.2357655,1.9889272,0.3039712,0.47028738,0.64117116,1.5946141
-0.7763557,-2.0338528,2.6508756,-0.27834764,-8.643765,4.369758,-0.042956408,-0.7010391,-0.9208755,-0.76638216,-0.62659496,2.147939,2.3154554
1.2708913,-4.1458473,1.72183,-1.8746145,-0.5923151,5.203249,1.4700018,-1.5265387,3.151753,-0.6886477,-0.8080725,-0.1559769,-2.5727878
-0.3731876,0.35076848,-1.7471185,1.3132082,-2.7057033,0.9406541,-0.31651717,6.2946663,-1.8236514,0.2837958,-2.7915943,-2.6938686,-2.3179357
-0.32452303,-0.006299607,-9.95876,-6.02693,-4.2640104,1.6839919,-0.65231997,0.10822883,-2.5567513,0.07297978,-2.136726,-0.16568427,2.7265453
2.915935,0.2277498,4.2261524,3.5802772,-3.0289884,0.14213532,-0.19274093,-0.8913653,0.15624726,-0.16499896,-6.633884,-0.43925855,-0.19497362
0.7262434,0.8448096,-0.38428828,-1.2879975,-3.2085495,-0.24399734,0.08910831,-0.16142827,6.2943645,2.10632,-1.6583107,-0.38729906,-0.21495178
