0,1,2,3,4
-9.800198,-0.0135035645,1.8520793,7.918861,-11.381229
-9.948216,2.1637304,2.9433599,9.737017,-13.14064
-10.661171,-1.1258253,8.851837,8.192953,-7.2410884
-12.532739,-0.3923033,7.416099,5.6618614,-10.440217
-11.433043,1.994024,6.0125747,7.36092,-8.018773
4.007806,1.7392254,-8.56481,-13.981565,-5.8639274
6.5269313,2.5083723,-7.056275,-15.981162,-2.907382
4.7490134,4.5697074,-6.184162,-13.428689,-5.98317
6.400988,4.7244506,-4.531017,-14.657542,-4.253802
-7.8467803,-4.0303984,-6.9455085,13.15623,-10.887677
6.028354,-10.850039,5.858702,11.7047,-11.113702
4.931103,-11.7653055,7.1380844,10.226915,-13.333953
4.741775,-10.482203,4.1779184,12.501809,-13.737453
-6.138327,0.5534198,0.99201727,4.153814,-20.622826
0.021252388,-1.8030653,-4.4994245,-2.5930214,-10.727813
-2.8599906,-0.072901964,-6.6983128,-1.8135872,-5.409418
9.55745,7.223306,2.4912364,-3.9334245,-12.577692
0.054303374,0.49929547,-6.2555346,-4.2299104,-10.246094
0.95285964,-2.607531,-7.1096935,-3.6684299,-8.242097
1.2618818,-0.9382208,-7.855643,-0.94033784,-9.299839
-2.1448283,-10.79847,7.6022487,3.9650872,-9.554469
-7.426986,-2.0938253,-10.151717,13.119021,-9.014732
-7.8282804,-0.9675595,10.31337,-4.2063637,-18.354933
-5.442733,-0.90020716,9.343982,-3.5861583,-19.691761
-4.3249946,-1.0033067,14.413366,2.1571016,0.6024568
-13.1297455,-1.0881991,-15.243786,7.524109,-13.718359
4.813646,1.5911021,-1.4023762,-5.484072,-13.526383
-8.559241,-0.35341427,-14.157936,5.1200733,-14.543883
-17.266317,8.116754,-2.883213,-1.5607908,-11.886501
-4.3430476,-5.8336086,11.176348,3.2151597,-20.493372
-7.1634583,-1.1298386,-2.798607,14.287964,-13.846566
-2.4755418,-9.855836,-0.71779567,-7.1057153,12.099396
-2.6578043,-8.896159,-3.9516063,-5.050338,13.484147
-3.1911893,-10.596155,-4.1346602,-8.866086,10.788213
-2.021806,-12.532381,-4.0446033,-5.5693383,11.883703
-5.587236,-9.343518,-2.4219797,-5.5678144,8.545599
-5.445148,-9.343748,-5.5437293,-4.890459,9.248551
13.318203,1.6397505,7.2633567,-18.92753,17.784918
4.105859,1.8203406,7.620025,-22.155285,12.647626
3.4422865,-3.619309,-16.134966,-12.253405,-3.1171117
13.869269,2.2561595,5.8568845,-20.408415,16.04039
3.1572118,-5.832225,-15.776588,-9.487208,-3.5420036
-0.96585584,1.4009447,10.215011,-12.109371,3.4524753
-6.5167227,11.556003,1.6809748,13.959658,-10.454031
-3.0841732,-4.818839,-4.450734,-14.581551,-8.471293
-4.9821515,9.090385,1.6251353,5.012682,4.3184986
-8.994583,5.620946,-0.6077993,8.670432,-20.451086
-4.5620475,4.454745,0.48050857,22.159826,-8.846304
-2.7520695,2.9213092,1.3325368,18.906992,-10.556032
-14.519315,-5.7882724,4.2025843,-7.895202,2.3671908
-8.685334,3.3679712,-2.7836761,-9.647254,1.4726267
-8.415394,2.6094055,2.1690195,5.0388365,-15.402513
