0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-4.8458023,0.113507785,-0.3377604,-2.7382286,0.1463343,0.012074529,7.5028977,-1.9834043,-2.3695717,2.861296,1.274143,0.22111808,-0.44174388,-0.0045308988,-9.908608,0.20023485,0.5707358,3.0434365,-0.7186703,-3.6403282,-0.51645404,-3.0079534,0.30905756,1.4495413
-0.7683755,0.19651724,0.30752015,-1.7531203,0.29980692,0.022259537,4.495752,-4.700557,-1.7946566,1.1820247,1.1957436,0.25175354,-0.1042322,0.0020724034,-2.973525,0.113709405,1.5104998,3.335626,-1.1057563,-0.6982605,-0.4169192,-7.9533615,-0.6202101,3.8832524
1.0320568,-0.1571129,-0.4313189,-2.8300471,0.27085766,-0.0033026952,7.895996,-2.7696629,-2.630772,2.413503,1.4001771,0.23320785,-0.33440784,-0.0033367956,-0.35138533,0.21497634,0.97842425,3.2899976,-0.69203407,-2.6697967,-0.4682751,-3.7247398,1.0146186,1.6135474
-0.91217256,0.17993915,-0.05589287,-2.0264955,0.6645981,0.019029867,4.614992,-6.7578487,-1.8427372,2.1546419,1.053357,0.29059365,-0.1516971,-6.8481335e-05,-2.958354,0.084194586,1.5273417,3.8406682,-1.1168518,-1.3613731,-0.07759732,-11.882598,0.41189292,3.7464092
0.34947672,0.012313602,-0.7149891,-3.0422902,0.004953874,0.0041391496,1.1979843,4.005481,-0.47690287,3.0870774,-0.8152344,0.29783863,-1.0144632,-0.01388686,-0.8961332,0.0750569,1.0375507,4.9817123,-1.3160487,-9.731239,-0.38215032,-0.31340617,1.7600389,2.6075158
1.0381936,0.043666083,-0.4045132,-2.4675581,-0.2605113,0.0009642928,0.44250995,0.028495394,-0.25736207,-0.84054184,-2.7786016,0.24017659,0.3245959,-0.004375563,-1.0244305,0.18378635,0.5123052,4.111637,0.6073398,-0.64391863,-0.5175887,-1.2455165,0.31469434,1.3419211
-0.92288977,0.04115943,-0.59299964,-3.3049688,-0.0019645742,0.004415288,1.3791857,0.15306975,-0.09885234,0.6330744,1.2841866,-0.1225826,-0.3263468,-0.006159658,-0.9923576,0.24060018,0.19691889,-1.7605834,-0.50614107,-7.416559,-0.035537984,-0.410083,1.1101121,0.7551059
-1.4866332,-0.20784768,0.060640126,-0.29508665,0.060297456,-0.02881712,-2.7968836,-1.096004,1.498481,0.7898404,0.9474548,0.16039644,-2.3481994,-0.0014537553,1.0569887,0.7393079,0.25659972,2.2026196,-1.0523486,-0.7985449,-0.2838528,1.1263121,-0.012092545,0.9781764
1.3019072,-0.03745629,-0.8362483,-0.00043763866,-0.013195229,-0.037648767,-1.1634072,1.8481982,0.03572337,5.0622334,-0.39612338,0.26186892,-0.35253927,-0.0051868036,0.95219564,0.2148021,0.15142931,3.059833,-0.40148813,-4.00959,-0.80129284,3.8515,2.590381,1.0314636
-0.7422886,0.08293178,0.6370128,-1.4921174,0.08290375,0.013361378,2.694302,-0.57436734,-1.414149,3.0647676,0.4958977,0.064707816,0.06205161,-0.0016108277,-1.9163625,0.19118418,-1.3463433,0.8197275,-1.7383078,-1.3378882,-0.17831415,-0.4874381,1.2413889,-4.065683
