0,1,2,3,4,5
11.3345375,10.5034485,1.1428919,3.2712357,-9.836564,1.2998424
11.856605,6.5646324,4.748515,1.9575616,-9.769511,1.1571292
12.032207,6.569853,2.3502078,3.658303,-7.0341234,0.63806385
14.842174,7.3573203,2.0700145,2.8538587,-9.564002,1.8558258
12.019219,7.1305084,-0.23317344,0.6541333,-9.71359,0.17992456
-0.70631456,11.30293,-5.226866,5.5665197,2.8834686,-1.605204
1.1025069,10.345591,-5.0757422,4.4904757,4.1629252,-5.7080107
1.5093275,13.018904,-4.085272,7.3285027,5.941729,-3.983815
2.3081765,13.311519,-6.994396,4.069772,6.8890095,-4.1478786
0.87861836,9.070512,-7.076005,3.1736937,5.096646,-1.6883255
1.3150735,10.92997,-5.8816366,6.621707,6.5998135,0.27442014
0.39178967,7.6279035,-5.7632885,7.611588,5.5998178,-2.6973135
-2.1534472,10.610286,-6.466678,5.658379,7.4723897,-3.12714
1.6425923,8.913637,-5.666366,4.867898,9.462515,-3.0393236
-1.3423508,8.3282175,-5.476868,0.89374965,9.644987,-4.490842
0.8298101,9.784722,-4.3530354,-0.040034667,12.031455,-3.384103
-0.40699732,9.209174,-2.4380016,4.9290495,6.426819,-2.0854
3.78814,10.931207,-3.3981404,3.5026293,6.10989,-1.7706627
-0.11429153,12.402263,-4.417353,2.4607065,7.676147,-0.8948128
-3.6105757,4.571732,2.163228,13.715583,0.1158506,0.05254103
-4.714259,3.622199,6.8166714,12.691791,-0.4185573,-0.3787674
-7.340231,3.4988747,2.1656382,12.236949,-0.6395246,-0.4113841
-8.382443,3.4618084,5.4217577,11.473703,-1.5920507,-0.73652655
2.5229595,0.6525069,-1.1159794,-7.7642407,10.718713,-7.5898476
-2.7857585,0.07992728,-5.8924913,6.7769394,9.385897,4.9066606
-2.3580072,1.0573349,-7.4660053,7.1757183,7.0436687,7.1271
-3.991656,-1.9120986,-8.285641,5.3521123,7.8798194,5.3342004
1.0504549,9.183823,0.20321552,-2.172278,11.766784,-11.428322
1.4969808,0.4156058,-2.2540574,2.976629,1.8655783,-8.63805
4.565608,0.005477456,-0.7732569,-1.0500298,4.207492,-5.462681
-5.108067,4.134839,2.5690992,4.9609947,6.0008154,-0.67081934
2.6686425,0.1817433,-2.1122,4.9213724,4.8711104,-7.9495025
2.7441962,1.110597,1.3394568,2.8814576,3.9315515,-9.106758
0.9102458,-1.1976031,-0.33359087,1.6203465,5.4409976,-9.459006
6.2402964,2.9845033,-3.044224,7.5479913,7.5049725,0.0999881
3.8855538,0.545209,1.0361395,-10.367337,10.267668,-4.878801
7.879074,-5.5966024,-5.289748,1.7770588,13.004513,-6.1268454
7.8202877,-4.043706,-4.1060467,1.6215826,15.366893,-4.5144587
11.101633,-0.9805374,-0.7263346,-0.4812935,-1.1609191,1.1274828
9.005339,6.932515,-4.245848,-9.168908,11.1876135,-8.092527
-1.7564739,3.6825616,-1.6436521,7.8265004,2.3835273,-5.7565737
9.284062,7.858798,-6.5172396,-4.8427105,8.558643,-9.202339
9.95977,15.226921,-5.038735,-3.6349735,4.050785,-7.7672577
6.5490923,10.552064,-5.3554816,14.128937,10.433733,-0.8620547
-1.2866075,3.6940753,-3.806891,-5.6817393,8.36609,-6.8238435
-1.9362727,-2.18603,11.697705,2.6851435,-4.9844766,2.272209
