0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.17719391,0.4081375,2.3585343,0.3168495,1.1064807,-0.19028167,2.290672,-1.0856016,-0.062154315,0.023455735,0.08234782,0.22023743,4.589196,-0.7311317,0.24371059,-0.41080537,0.7670807,2.1075377,-4.071274,-1.5114939,0.89627063,-0.84533876,0.075823545,0.351781,-1.0146695
-0.0035970467,0.24445413,-1.7058082,1.5338295,4.303269,0.039911136,2.0890036,1.165215,0.1743526,-0.9545861,-0.7916686,-1.3412577,-0.013859261,-3.8802073,-1.707638,-3.5308633,0.3888881,-1.5412403,0.88003165,-1.0207264,-0.15765083,-0.13867651,0.14823519,-0.53719205,-0.29844534
-0.017343065,1.9107234,3.7730806,2.0639844,0.154544,0.01985779,2.392668,0.5989182,0.048937,-0.107823096,-0.37039825,-0.4028959,5.9156904,-1.9718086,-0.31121856,-0.9278488,1.0618192,3.4828491,-0.60641,-0.9529412,1.1538152,-0.9540116,0.0005055135,0.069855995,0.12087254
-0.27627662,0.4505709,2.3446016,0.56483823,-0.13308713,0.02603547,11.352957,0.5520145,0.029109849,-0.060258333,-0.25448996,-0.23979193,2.7184083,-1.4855536,-0.4938985,-0.5716568,1.1414489,2.388346,-2.0459201,-1.3539451,0.92593503,-3.8495388,0.07278201,0.29975864,0.13596344
-0.54337174,1.7595357,2.1264653,1.0729043,-1.3328133,0.049516574,7.974542,1.7564024,0.13959378,0.10360682,-0.7267841,-1.1286476,6.5479956,-3.309513,-1.6621574,-1.1994382,2.978062,2.044803,-3.6069703,-3.3866558,2.271268,1.0651224,0.09811527,0.32206434,0.48860776
-0.75822705,1.483669,1.7969569,1.05495,-1.1511433,0.03572585,4.209503,1.7089051,-0.22546153,0.10789343,-0.76148957,-1.3106145,8.3770275,-3.359617,-1.2318196,0.57126975,4.083093,1.5195152,-2.929255,-3.2686822,1.520835,0.23974578,0.05854419,0.27265644,0.48448277
-0.62355745,1.1838825,1.9545069,0.88986397,-1.1271932,0.042512722,5.352085,1.6884396,-0.21856718,-0.07202059,-0.8952333,-1.5238745,4.1203685,-3.5295384,-2.2542572,1.5853299,2.5049906,1.791134,-2.8831272,-3.3497665,1.2992727,0.23882627,0.070238024,0.30927032,0.55438286
-0.9450841,1.8442756,1.8473153,1.1735538,-1.2369552,0.045858853,6.652556,1.9133631,0.123387225,0.118067086,-0.9556463,-1.6229175,10.796876,-3.683971,-2.1649318,-1.4170151,2.3720253,1.5441341,-2.4246857,-4.0076084,3.3466198,0.50179917,0.064150386,0.2899448,0.5365778
-0.6793035,3.87863,2.3319435,1.176495,-1.1854639,0.055633508,9.715647,1.9084084,0.14643688,-0.22333905,-0.79331905,-1.4031533,4.4313583,-3.6459415,-1.9836257,-1.7400059,1.1080011,1.9094969,-2.9825885,-6.187021,1.1550621,-0.11807569,0.07960939,0.27717236,0.5423657
-0.2632193,0.4135199,1.8661846,1.1846778,-1.6422828,0.053202298,5.4944396,1.7220155,0.11774976,0.0865711,-0.3888811,0.07083275,3.3452199,-3.2266777,0.24674289,-0.9847633,5.2644672,1.6296146,-3.7222352,-3.3424711,1.1837898,0.5441961,0.08402617,0.30123872,0.47817641
-0.2908733,0.47951853,1.7769684,1.1425549,-1.247295,0.056787066,11.668931,1.8580842,0.16245195,-0.09959332,-0.77670294,-1.4405216,4.5400553,-3.5801873,-1.9641942,-1.6617621,0.9859661,2.056039,-3.037472,-8.859319,1.4686058,-0.3686524,0.08669641,0.32093328,0.4817229
-0.39114222,0.59940493,1.9910934,0.632485,-2.4086907,0.0122469235,4.2022605,1.2547586,0.057624217,0.8710583,0.32552567,-1.3419234,4.6001945,-1.6557307,-1.0007509,-1.2896948,2.8145168,1.6309038,-6.2077527,-3.0772738,1.3966284,1.4566354,0.0924612,0.29794306,0.3159674
0.07406536,-3.6490242,1.5880677,1.2109101,-1.1059918,0.06205135,5.777848,1.9406803,0.18464781,0.21562561,-0.7877643,-1.4281282,4.7023396,-3.687302,-2.0327926,-2.0906885,0.8048609,1.5057075,-2.8931205,-3.5254083,1.8768551,-0.008532183,0.063289925,0.3971648,0.65783703
-0.2814329,0.4148534,1.8998867,0.31440118,-1.5017323,0.052672405,4.153593,0.88472956,0.13230263,0.055126373,-0.6660509,-1.0395037,3.3763323,-1.7007776,-1.241948,-1.3315752,3.8328831,1.6193833,-10.350111,-2.5952876,1.2795943,0.7868247,0.1012456,0.29747444,0.25696465
-0.16391262,0.20855805,3.488799,1.0093137,-1.6206299,0.17153345,1.7854135,1.1806389,0.15269972,0.8190424,3.1066048,-1.0544522,-1.2080765,-2.2925425,-1.2727497,-0.109681055,1.3291373,2.803469,-4.259252,-0.904077,0.52356917,2.290721,0.13808334,0.5169326,0.3328861
-0.092747785,0.1005939,1.8436838,-0.09966141,-0.9491617,0.10717314,1.050684,0.041094445,-0.1367292,0.22008303,0.6100334,0.2428835,0.96168286,0.095796034,1.4176247,3.4795642,1.0455165,1.559741,0.24201252,-0.49167332,1.2268088,1.0669714,0.114117496,0.2029796,0.045966923
-0.06698042,0.09216934,2.1522913,0.93192923,0.1652939,0.110658936,0.19589652,2.1689892,0.13392946,0.53294456,-3.9438283,0.59258354,3.0794158,-3.2371042,-1.3602293,-1.1126815,0.17407094,1.6060237,-1.0310508,0.05132403,0.7541395,1.1653485,0.15224187,0.33871165,0.70789474
-0.12078109,0.23103368,-0.301045,1.3520869,-0.42994666,0.07695155,-0.43338752,0.21843061,0.12747262,1.7258236,-0.088165484,-0.5651561,1.1622441,-0.56519157,-1.4738786,-0.920809,-1.070641,-1.7521683,-5.361723,0.5145484,0.70034784,0.6773312,0.13647497,-0.96449244,0.12326405
0.003883915,0.002389795,2.121093,0.31363988,-0.8398981,0.2385514,-2.1375346,-1.1476802,1.1873709,0.65752876,-1.0879592,-4.3078165,-0.64144534,-2.6296353,-3.888603,-4.7174034,0.54557604,3.0832484,-3.0454278,0.26210076,-0.059874114,1.0868016,-0.03603782,0.2225094,-1.0431844
0.08523013,-0.11922318,2.6705177,1.082723,-0.8312875,0.10010714,1.5114136,1.9278927,0.752366,0.5244098,-1.1274678,-4.447094,-1.5239038,-8.977732,-2.993348,-2.133602,0.6220912,2.2865472,-1.724459,-0.83322334,-0.7722222,1.3910826,0.15133372,0.4113431,0.535529
-0.12046315,0.09714683,2.6824214,0.47227517,2.2918794,-0.101736724,-0.9542782,1.3959786,0.18168035,0.16925839,-0.19278157,-1.0608625,1.4078583,-4.1552076,-1.6968893,-0.77126807,-0.40720752,2.9339619,-0.08822668,0.31599548,0.32165265,-0.8572188,-0.12150129,0.23171605,0.2512078
0.013012408,-0.008458122,3.691835,-0.14268658,1.8403145,-0.025780385,0.79795235,-0.07726355,0.016768703,-3.5884962,0.05077837,0.0776239,0.8235362,0.2972565,0.2934042,0.15950672,0.1366244,-0.13675086,0.5213909,0.034972887,0.54939514,-0.116720006,-0.03719595,0.6060279,-0.30935922
