0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.40777928,0.8122183,-1.5260253,-0.58976823,-1.2763823,-5.8193307,-1.13741,2.9018762,0.09251375,0.72918814,-0.6982108,-1.2778051,-0.16842094,-5.781417,-0.018623188,0.1924294
1.4978931,1.3698155,-1.9099959,-5.3750405,-2.1597505,1.120503,0.5954335,3.923361,0.24541155,7.0107346,-0.79677856,0.15411331,-3.7368846,0.27379045,-3.3258684,0.12732121
0.40932342,-0.4721875,1.1710846,1.7866031,0.8736871,-3.8316746,0.99453044,2.8156943,-0.41227603,1.98481,-0.069268174,0.10999518,-0.52015376,-3.6323946,1.0889076,1.1999741
1.2087725,-2.1820588,1.1939622,0.2358703,1.3508805,-1.1269114,0.0012379589,-1.2541431,0.14829828,-0.028636862,2.4376016,-0.96462274,-2.27545,0.25870556,-3.9687889,0.08227287
0.645639,-1.1324787,2.2976177,0.52141297,0.50625354,-6.4529676,0.4572474,3.4857135,0.25868803,1.3113561,0.36455035,-0.27531868,-1.6435013,-2.5490544,-1.0009604,0.4576775
1.084748,1.1227077,-1.6178464,-1.7033412,0.72902423,-1.4647899,3.881533,2.5926988,-0.056709934,1.255858,-0.5602602,0.55466604,0.12678368,-0.9770193,-8.172237,-0.06171532
0.66817176,0.9950664,-1.0884149,-1.3100232,-3.3759587,-0.9577514,-0.544079,4.4637675,1.2018971,0.34510764,-0.37858227,0.33884043,-3.8725631,2.1207051,-1.9868453,0.16299604
1.5664811,-4.5451736,-0.52801543,-1.5076947,-2.886089,-1.1669091,0.8895352,3.2631607,-0.2730926,5.6852803,-1.223167,0.7086187,-0.091434225,-2.7318754,-6.2683887,0.29666612
-0.47022608,2.4900045,-2.0445528,0.24386424,-6.268542,0.7627939,0.08791563,-5.055551,-2.4589744,-0.16142912,0.013171935,0.035818283,-0.49090606,-1.5517235,1.2068608,-0.0033099349
1.9996744,6.765635,-8.5263815,-3.9846442,-6.0381384,-2.0391934,0.980948,5.9382763,0.44460422,1.9433415,-0.23395395,0.14955454,1.5883268,-3.0790665,-6.011164,0.36194208
0.92153114,7.832862,-3.663695,-0.7316332,-3.9752803,-5.194346,0.5506887,2.3253994,-2.8187134,1.2860533,-0.60842484,0.22752139,0.7514095,-6.6011605,-2.3439028,0.12724587
3.1662302,4.609771,-7.9175897,-2.2851586,-7.603291,-4.298822,1.0500362,6.5104904,-1.9846015,2.54043,-0.28106,0.11689516,-0.24483748,-5.434923,-7.0939097,0.71641177
7.001682,1.2627816,-1.6539235,-3.63025,-2.9538655,-0.9724795,1.8002555,9.367773,-0.4847926,2.9985163,-0.47019708,0.17809802,0.5246319,-3.3896997,-6.0731673,0.62693965
