0,1,2,3
4.440196,16.660507,7.453137,11.240162
-1.5543915,11.310244,13.716759,0.5063557
-6.873876,-3.0797412,12.822397,1.086826
11.074436,-21.308771,-7.955016,1.4768003
12.006699,-22.919998,-8.179054,2.5036
11.591347,9.358825,1.4471289,7.652572
-1.1263597,22.492302,-6.120005,3.001563
9.787394,15.874844,5.5038233,10.375896
-10.927979,-12.690128,-8.424802,-1.6370736
-11.848415,25.749966,0.28303063,9.262147
-0.5386696,28.854471,1.3021346,4.5332904
-9.836222,30.740845,0.707333,7.674993
-11.609734,28.101315,2.1742651,7.6500163
-11.014614,28.560347,0.2268154,10.725295
-12.765767,27.238169,2.4898748,10.7661085
6.8576694,10.572729,-2.9103425,21.35161
-1.7370776,6.6687493,3.4938326,7.7976894
7.5043645,5.1362123,5.195227,8.532919
17.615623,1.2486496,3.880492,10.125762
7.1330757,11.274571,-10.056451,-9.807607
12.232273,3.3859303,3.9507,5.96272
-1.5810775,4.5562716,3.5843859,18.773695
-10.556933,-0.6126868,-25.162554,-7.5679474
0.024182754,4.122379,-2.9500582,4.5411773
17.86557,5.3178988,0.5647531,7.607249
11.191522,-0.15610202,10.485818,-6.056925
-1.0801489,-3.4100318,-5.130256,9.203788
11.999275,-0.35031313,8.844685,-5.3305535
1.3806708,2.26014,-28.939184,-3.8829925
13.280979,4.4419875,-15.349435,1.3880683
-3.3536007,5.1634583,-0.44981724,-24.276981
-9.170023,26.198555,-4.1683073,8.587612
-8.048821,14.448303,-14.225616,6.406535
-13.870069,26.185623,-1.9718348,-0.79940134
7.8740463,4.945073,0.6086184,11.307576
23.13794,2.6804135,8.352943,0.79142815
-4.8608165,18.245478,-16.271101,-9.999939
-16.26752,0.12573077,2.5535376,5.6836634
12.73951,7.8599415,2.837404,10.470315
9.226,7.7068233,-6.795257,-2.080509
-14.290681,15.460791,1.0853992,-4.6796503
-13.553442,15.39003,-2.0595057,-2.6605792
-15.339031,14.530715,-2.2082136,-4.4926524
-15.931503,15.674102,-2.3977993,-6.75936
21.115751,2.6965275,8.287305,13.266544
23.540741,5.5779076,11.038064,12.177349
22.101212,4.707105,8.892427,12.533435
21.017473,4.9498324,9.23996,14.512298
14.381591,0.78933334,-1.6519997,14.323881
0.56885123,29.475983,-6.2453027,12.439765
-2.175162,27.938894,-7.1010704,13.33873
4.1173143,27.179739,-7.281352,1.1677165
0.3630997,24.717424,-15.023184,9.9837
22.121798,-23.970173,2.6203847,-4.8281283
12.589581,7.954011,-4.578632,-0.3583471
-12.297672,-2.8425944,-20.694881,3.1252708
-11.402761,25.017012,2.7726934,1.9930996
11.787617,-15.992194,2.6636703,3.788851
-19.63044,1.5480205,-8.907143,-2.3900824
-2.8560588,6.9218125,1.7683876,17.740046
10.574781,0.78572536,-6.1819057,18.943115
-2.0327413,28.438162,4.6262717,4.7636094
13.104696,4.2655582,-5.377717,13.725071
-7.7425723,15.603881,-9.04906,1.9925842
5.980091,16.098536,5.4108987,8.128422
8.696645,11.47092,-6.050455,-3.1420193
3.774986,25.16362,-6.848744,5.452186
3.431621,25.83605,-6.249347,3.539698
3.3425345,24.792946,-5.795605,8.835331
-13.533832,25.725668,-0.36511722,12.613139
-2.3989348,11.002208,-8.621108,3.318801
4.3263006,7.5018353,-23.286201,6.199907
-14.545363,26.257668,-7.5335107,8.108992
4.619046,4.0929728,-13.534144,-4.2829237
12.809772,-7.35288,3.5977259,-11.698831
5.1253586,9.434857,-13.838139,9.41982
5.7155976,8.2621,-12.59966,7.6226063
5.3353543,7.3399982,-12.162923,9.690257
-7.499643,-11.655726,4.636768,-13.090731
-0.6237413,-6.8020754,-7.3786035,-21.403173
1.6126865,-5.9276967,-6.4052653,-19.693832
7.522369,10.800334,-0.51934665,-11.9248085
15.989193,15.222299,-6.771655,-6.0560575
4.6026516,6.128666,1.0690048,23.89875
3.6427255,7.325931,2.5079653,24.439924
-15.538411,11.825541,-15.003364,-0.62113494
2.483405,-9.623022,-3.830916,-15.295409
20.908566,-1.714469,1.8470583,-12.945717
22.562677,-1.8800441,2.6131845,-15.235455
-4.5596414,-2.3853817,-11.644049,-2.6235642
-2.7263424,-2.4734166,-10.553576,-1.7962482
-0.15834752,13.469806,-8.448735,20.582651
1.0431032,14.413496,-8.530775,22.150791
6.539473,8.2885,10.503779,7.9070296
10.555531,-10.537936,17.096329,1.929836
-0.16420071,15.451441,-3.9709232,19.346912
-2.3397338,26.463858,-8.532723,10.226698
-11.751182,25.156149,-8.916657,-6.1281285
20.077875,4.2181168,-10.579961,-0.58115613
-3.9242778,4.0686283,2.1100237,15.818477
-3.5332968,5.9867606,4.49689,17.046717
10.15875,2.4312618,-7.369768,20.538204
19.592062,5.1785707,-7.989192,-12.856577
-5.6263723,16.844397,-12.033962,7.563109
-1.541997,18.24722,1.3989055,10.335151
1.645769,26.205967,-15.368849,9.8249
2.5765166,4.4422855,-6.947023,3.4474893
-18.974236,-8.761679,-6.2559366,2.1458275
-6.8289003,12.980461,4.8398113,5.3083425
-4.9295845,11.356666,5.54135,5.9631867
9.446619,15.730196,-0.19519739,19.150953
-6.7863774,18.542898,-18.439232,-10.621012
7.448794,18.369217,3.0600348,8.798914
-5.514022,31.371862,1.9751363,7.845431
-12.690359,27.16258,-0.057191093,-1.3786775
-9.706823,22.576212,3.0349336,-4.4459963
-10.745531,3.9486282,-18.092762,16.780418
-13.021175,3.998443,-12.7062,16.546383
-12.555005,3.119837,-13.2304735,10.533291
-12.752734,4.873773,-14.968194,10.599189
-16.05444,4.1758227,-11.585479,9.499975
-16.68908,4.940692,-14.108167,9.055377
-16.998041,3.733666,-13.317879,11.549248
-16.71493,6.282643,-12.589743,11.101076
-14.165637,7.806218,-11.422966,8.540568
-11.834302,9.668292,-10.94254,9.597047
-10.9690695,-4.969667,-16.44267,-15.20066
-9.507634,-4.1948543,-18.021317,-13.985332
-9.409631,-3.7001998,-15.799964,-12.09957
-9.25118,-5.9867196,-16.492691,-11.263324
-9.922681,-5.0962863,-16.961523,-9.065468
-12.040425,4.4273987,-15.384803,15.934126
-10.025334,4.5045543,-15.751385,14.519392
-10.229444,5.208703,-12.90854,12.72106
-8.717155,6.7366433,-13.994517,11.860497
-10.486789,7.934431,-12.728511,11.666525
-13.752945,2.7268176,-11.643716,17.810112
-9.883679,4.432099,-9.420911,9.199202
-9.257183,5.8803716,-10.221478,7.240199
-9.658812,7.497234,-9.020786,8.026591
-12.810063,20.64453,5.7840524,4.7007885
-11.358358,-3.7294676,-13.030454,-13.028125
-11.156212,-5.5399165,-13.010323,-11.386209
-11.497785,5.038753,-10.363338,-0.8422067
-11.183726,6.8485074,-9.13089,-0.12057165
-13.335253,8.890329,-7.681483,1.2368144
-14.886368,20.35324,4.691909,3.5454068
-13.534304,19.420897,4.9574957,1.754096
-11.503435,7.5454826,-14.109146,7.874313
11.570777,-4.3376775,8.953622,18.47738
9.950276,-5.535993,7.620543,19.754555
11.838676,-6.7682166,9.195909,19.927721
11.521312,-3.3533804,11.531676,21.170485
10.065344,-2.6525729,9.389207,21.4005
10.000951,-5.1810846,10.227438,22.166973
12.373349,-4.7223215,7.9763227,22.228235
-3.9906228,13.306216,3.063257,1.6207995
-4.834115,15.253348,1.993403,4.1114545
-4.9163423,16.130339,5.154007,3.2656097
-5.9453,18.342146,3.1451364,3.4141831
-6.852165,13.6832485,1.4450747,1.7283163
-6.8093896,13.585583,4.8856797,1.0195324
-5.8654084,14.194259,3.0025551,-1.5142387
-4.984509,16.404642,1.2948414,0.24426825
-8.061218,17.31146,0.6743778,1.096833
-10.433156,16.540752,-1.8686734,2.9846618
-10.106962,18.608042,-3.254824,3.7272432
-7.106793,16.721014,3.9004483,0.16067605
-8.773341,15.668945,3.9184952,3.228249
-9.850405,14.729685,2.7763832,0.4866912
20.73334,-0.89089084,6.4404697,7.692586
