0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-0.12814973,3.745357,0.062213775,-5.372511,0.23159862,9.191721,-0.077636965,0.026928151,-0.54066414,0.710818,-1.2084348,-0.15080461,-2.3058667,0.78020436,-0.8122985,2.759706,0.53011537,-1.1203907,-0.04827927,-0.18675223,-0.020370716
-0.73382604,0.69219965,0.042926952,-3.0642204,-3.152346,3.2981482,-0.07594558,-0.15693441,-1.5928245,-0.76022893,-1.018421,-0.12054494,-0.515161,0.783936,-0.810212,2.038211,0.18322721,-1.0572164,0.08653323,1.7540696,-2.2042885
-1.7126857,2.8864346,0.10914456,-0.98944026,0.2726871,1.7159101,1.7888349,1.5666344,-3.1590405,-2.6548517,-1.0603085,-0.16475879,-1.2520759,0.8442791,-3.35972,0.33595905,0.8204519,-3.4716804,-0.01089352,6.4811287,-4.7705374
-0.6052154,-1.4460222,0.049445696,0.40375483,0.34711176,-0.09474602,-0.0066718226,-0.05708814,-4.557141,-0.058943897,-5.210387,0.041341282,-0.17401974,-1.7109406,-0.7009796,-0.15701945,-0.0903459,-0.39522716,0.03718687,-0.44513232,-1.4250677
-2.550092,2.915514,0.23037072,-1.5724672,0.7566541,1.6880282,-0.09620761,-0.06694207,-9.864892,2.0671833,-3.1206048,-0.47634682,-1.9889021,2.9962225,-3.3815093,0.7763832,1.33752,-4.7021976,-0.011775426,0.79778796,-8.523395
-2.0754583,1.1338345,0.28336513,-0.82938176,1.3030717,1.2897685,-0.08284846,-0.05044326,-0.9154678,3.113647,-1.6871285,-1.0343186,-1.0444062,5.5296955,-5.209464,0.34583107,2.6564708,-7.0311866,0.00020682314,-2.1254303,-5.724628
-2.7004309,3.5159822,0.1191552,0.5492746,1.2112352,2.805563,-0.29815903,-0.22077286,-1.6518521,3.1722865,-2.1334243,-0.40024477,-3.7996323,2.0982337,-4.396801,-0.41333377,1.1411356,-5.6624312,-0.019989893,2.4478917,-8.7692585
-1.6979389,7.9146624,0.09811001,-5.6520824,0.48148513,2.468288,-0.91166854,-0.7674174,-1.1702875,1.9027832,-1.2459811,-0.2707249,-4.8310423,1.342051,-1.9538838,1.1416858,0.8374409,-2.6295068,-0.01906714,5.1187344,-5.4418
-2.2014704,3.7018538,0.074703455,-2.0509105,0.9689034,3.99121,-2.2417877,-0.2428417,0.50429374,3.2528389,-0.5717483,-0.0497733,-2.463512,0.067169406,-4.9133415,1.0701127,1.1471285,-4.260924,-0.0136739565,2.089535,-6.211096
-3.0247414,8.9446125,0.18895544,-3.9164429,-0.5003709,7.6724243,-0.43313143,-0.36395165,-2.9495218,2.8590195,-2.371407,-0.49276078,-5.7007675,2.6617987,-3.5446012,2.0748782,1.4828922,-4.6833196,-0.06101842,1.946415,-9.589862
-1.1215281,0.6460676,0.025163367,0.28176636,-2.959163,1.0527239,-0.26399067,-0.73148006,-0.2638256,-0.111546114,0.23914216,0.95544946,-0.17159426,-1.6258504,-1.0788572,0.1692593,-1.1730068,-3.2235296,-0.013815948,0.3165056,-2.1623623
-0.022040924,1.8369238,0.0043571056,-0.9237932,-0.01702825,2.9301076,0.25922537,0.19127733,0.1949905,0.35282373,-0.2927846,-0.22448999,-2.5903308,-0.08942667,0.32272178,5.317306,0.86551404,0.17064741,-0.028432848,5.9755807,-0.65720165
-2.8650632,6.176221,0.12144567,-2.3127608,0.9248413,4.8330145,-0.23001619,-0.14339767,-1.2512827,3.12382,-1.811925,-0.32231858,-3.0067458,1.6010344,-3.7070725,1.1263797,0.93074733,-4.713165,-0.07733168,4.876497,-7.977501
-2.6234488,8.112234,0.17498331,-3.2129917,3.3648763,6.17114,-0.27639148,-0.21173008,-2.034123,1.5132302,-1.8980029,-0.42966542,-4.9437995,2.3777192,-2.3649986,1.7006003,1.3547673,-3.276675,-0.048255097,2.706578,-8.218707
-3.7524223,5.297551,0.18531853,-2.3472323,-0.6510956,4.0085363,-0.4025732,-0.33832464,-1.111993,2.6900203,-1.25811,-0.45551544,-3.7375753,2.4778016,-4.7797074,1.2270634,1.4318762,-6.2863874,-0.031407952,2.6280503,-11.410219
