0,1,2,3,4,5,6,7,8,9
0.115642145,0.90248656,-0.08397807,-0.40513608,0.29085642,2.245309,-0.5414919,5.825025,-2.8067186,8.915828
5.11179,1.7409621,0.3007927,-3.1842144,4.0947533,-2.18501,-0.6502904,8.3207035,7.352002,-1.2116905
2.7607923,8.722651,-5.9357433,1.6451283,0.4814197,-4.9872055,0.46164733,5.4279795,4.268967,-1.7176224
1.5766152,-4.321721,-13.086276,-1.5795696,-1.2450161,2.6008263,-0.10959636,2.0641212,2.0627196,-0.006143385
2.877852,0.76545984,-1.139654,4.273491,3.8353844,-2.7386267,-0.12815359,17.387266,4.519193,2.3900213
3.5398216,2.1660087,-0.71653014,2.692484,3.1012378,-1.0545559,-0.88754404,14.245202,-0.14612852,1.464089
0.9546335,1.0384802,-1.2665142,6.3383007,1.5124769,-3.340953,0.039298773,13.658112,5.3472486,1.4625207
0.88646305,4.648613,0.7445363,3.7088053,0.91313106,-2.5418391,-2.2622347,13.556508,1.9800473,1.104787
2.1929908,4.099588,-0.91019726,4.9064007,5.5360327,-2.9963794,0.353054,13.3808155,3.7410064,2.020143
1.3712384,4.43545,-1.7520154,3.612595,1.0962211,-2.0647142,2.4592943,14.885884,1.4918447,1.5709729
-0.13422275,3.035646,-2.4137337,2.930754,4.0566688,-1.4614507,0.100171104,15.506352,-0.16791113,-0.13994616
-0.5980163,3.2782104,0.26719448,2.2035055,-4.0690703,1.5276966,-1.2605188,0.4089071,7.476193,-0.7888444
-1.0969906,4.4852543,2.1372583,1.188825,-3.0295403,-0.38221663,0.25435397,0.06021821,4.231177,2.131491
5.462435,1.4899035,-2.5808425,-1.5161843,-1.0508642,1.3127967,-1.4617224,7.2502856,7.3294063,3.2550159
-0.7066985,-1.8670915,-6.84731,0.23051868,5.580749,-1.3941536,0.012994518,9.774225,0.59940016,0.6269806
-1.0970299,0.52747047,-8.877458,3.1828198,-0.54335266,0.007272176,1.531163,8.666355,-1.6435391,1.891494
1.6527618,-0.09655756,-0.5767726,-0.17206296,3.904944,5.774596,-0.18284623,5.249138,-2.4886482,3.076279
-1.5683542,2.8654096,3.6353645,1.7747303,1.74293,0.28049874,-3.1465735,-3.2866907,0.7886557,2.6382642
-0.8606934,-4.7421913,-2.8064916,0.32559994,-0.9074557,5.3498793,-0.3599675,-12.358775,-2.792036,-0.07393535
-2.7675614,-4.2191176,-3.1338437,1.9881352,-1.1326355,1.9618559,-0.19072872,-14.251003,-2.9253368,-0.36842674
-3.318714,-3.4003365,-3.7156365,-0.29296166,0.3802424,2.1922739,1.4027959,3.2230344,-1.7541232,0.22028457
2.4040816,1.37834,-5.0968084,4.3308015,3.928548,-3.1020582,0.3706678,6.682053,5.362698,7.5289865
-1.6358697,-4.3988266,-7.227056,3.1384559,2.1897607,-1.7968252,0.19586635,7.7421865,0.25420603,3.5480666
0.7908548,0.104647055,-2.3119376,0.44719112,-5.1268263,4.88675,-0.36085337,-7.3039746,-4.538076,5.6812196
3.4354079,1.2596889,-7.641234,-1.5299753,4.366267,-3.8253214,-0.41663155,9.858381,2.1609251,-3.0865343
3.3159983,3.0406075,-4.0751457,0.19034536,0.9094778,-0.8550269,0.24717684,16.091967,6.4980865,-3.6329446
3.5543697,3.1723106,-7.9211073,0.7457993,2.9963787,-4.1640306,0.097322755,10.316402,6.97761,-1.5228075
3.1253846,2.1126318,-7.3959594,-1.8231995,2.9151907,-2.6624005,2.9568565,9.135018,3.9445555,0.4814629
5.29304,2.3436072,-7.358954,2.4133227,4.164867,-2.152225,1.5591218,9.566663,2.4295566,-1.2225893
5.60452,2.0768244,-7.9416456,-0.2685355,1.0043631,-5.329227,1.7390867,10.3447485,1.2198541,-1.1463804
-2.7413259,2.0476859,-11.963919,-3.003344,0.8934639,2.3060644,-1.8052534,5.0751643,-1.3918842,-4.273331
-0.4286026,2.337653,0.42643297,-5.7084217,-1.1017736,-1.9695883,2.3909483,1.7323459,-0.005147919,-2.0666132
0.22232734,0.4817197,-3.1585982,3.2629378,2.897721,-3.4538374,-1.7034447,0.7582097,-2.8703003,0.62792623
-0.7549526,-0.8451157,-3.963791,-3.3390937,0.37474653,5.575636,-0.7782277,0.5238349,-1.2127647,4.258117
-0.3159777,-0.4819922,7.220717,-3.342203,2.3999171,-5.36555,0.68595773,5.7715487,2.5693083,-3.1955469
-1.2251699,-1.2806047,-5.674136,-1.137195,-0.6842949,-4.4034367,-0.021447837,-0.8790142,-2.1475208,-2.6461382
-3.5693288,0.7706226,-2.4101987,-0.14360847,0.8495414,-5.154756,-1.8115774,1.9390689,3.7042067,-2.9100003
10.150513,0.057973556,0.16229782,1.5156912,1.8161864,-4.196731,0.031617537,2.2160964,12.35538,3.3100865
-0.37815696,1.2343944,4.7009106,-0.72736096,2.549253,5.0063396,0.3060443,2.6278079,0.14443016,-0.5282199
-0.94377613,-4.3036814,-6.5762067,0.63050604,-3.1359026,3.8978186,-1.0724397,-0.63353884,-3.995264,1.2805178
2.548125,-2.149948,-4.9117165,8.33455,-1.1941266,0.45476374,0.22260945,-2.7731357,-0.6841154,2.452793
1.6278973,-6.8913245,-3.9179993,5.9761257,-0.99957633,0.43872845,0.3512541,-1.0945588,-0.89345896,3.2982867
1.0525784,-1.5301102,-7.502544,6.1128736,-0.42532286,-0.42893982,0.5874563,-2.5085273,-2.7074084,1.4590108
0.04389898,-0.7640614,7.1240726,6.7068377,2.528183,-0.83966964,-0.028879385,6.015246,2.979726,5.8048325
3.9926276,-5.5171013,-0.9950291,-7.3321815,-0.6325279,-2.518175,-0.0009812695,3.4654193,2.982397,-4.7046027
7.239295,0.6486539,0.9805995,-4.220003,1.7520652,-0.06582164,0.74838114,2.6979842,-3.696887,-1.9680713
2.8636265,3.2189927,-3.9286108,0.2539772,0.17631657,-3.8814178,-0.827261,11.061439,3.3749573,-3.8352852
5.388021,0.55859625,-4.3440127,0.17522524,-5.4244485,1.6113616,-0.07359945,4.9953995,4.533822,4.3764405
7.7184095,-0.6647639,-1.9068105,-1.8434633,-0.50510395,-0.36120844,0.085422136,13.291497,8.342138,-3.1549268
-1.8716156,3.1846719,-2.293577,0.36974874,1.3086066,-1.7703718,-1.7548717,0.52143544,-0.51653785,2.7758224
0.016071958,3.8735273,-6.3420696,-1.3265951,-1.5469954,2.837806,1.9347521,-2.975218,-0.6227008,-4.6808505
6.6075993,1.0366206,4.267748,3.533718,4.2216673,-3.1420639,0.05670897,7.7875338,6.8075747,3.9201508
