0,1,2,3,4,5,6
14.229205,-2.7121253,2.2644205,-6.970326,-6.3510046,2.5943377,2.116818
0.9836385,1.3972429,-1.2734138,-13.397216,-0.51342136,-8.232002,1.8265986
7.4143515,-3.7763112,-6.917758,-6.286666,-3.4993274,0.92490286,4.6747293
1.241689,1.6768543,0.025130592,-13.708735,1.4102573,-9.393813,-1.1584071
9.008287,-1.891238,5.777193,2.4817429,0.58027893,-0.6353369,11.921776
8.309883,-4.918583,1.014384,-3.8665137,-5.7091002,7.1002336,0.54136246
-1.9289405,-1.0879878,13.5344305,5.3386602,6.343157,-1.8830435,5.47496
-8.64909,2.3272536,7.229136,9.350655,1.1603664,-5.052679,-3.2319767
1.9859072,-0.31321877,13.629776,-10.531338,-0.046687674,7.933775,10.287805
2.4785986,-5.242724,7.948293,-7.517571,-2.1619143,0.22520705,14.283366
7.476677,0.10944182,16.414362,-7.785445,2.2273648,0.55036545,6.675714
2.7850108,-0.29343203,22.568504,2.1224344,-2.1167622,2.0992079,5.984736
9.241281,-0.9356628,13.397837,-8.587574,-5.161402,-3.1645844,8.077105
4.0995107,-2.1835794,18.86529,-4.2738843,0.17955756,4.270795,10.820769
-3.0175753,5.0099254,0.20415504,-10.597364,-7.9810963,-0.8464192,4.5927167
-2.4363804,-0.037857477,3.9050672,-13.985823,-2.8754857,-4.8553004,-4.4058332
6.05112,1.9480872,18.628132,-6.108089,-1.8277712,3.1324806,7.0152473
3.5475078,-1.2352471,20.137138,-8.532986,0.26598272,1.2748933,7.9787025
7.1980762,-3.3765829,19.262247,-5.3068395,0.09317332,2.8030653,6.014029
11.281404,0.55179495,12.053769,-12.971822,-3.4322422,-0.90908843,4.8053136
0.34483722,5.02753,6.6669044,-9.404785,6.8426824,-1.3407367,4.384289
7.0157366,2.1079113,9.2732725,-9.947688,-1.6693343,-0.31026757,3.6801717
-3.803159,0.98545533,14.741315,0.33041102,3.6111808,0.73801684,4.720455
1.4138397,-8.055387,6.876109,3.6020741,-0.45827416,1.4019158,3.9562948
1.9206691,1.7119759,16.097496,-5.615858,1.5349371,3.0587187,1.1550137
2.235925,0.668416,15.509744,-5.4604177,-3.0388296,7.2405925,1.3785969
-1.7199856,-0.17270808,16.58732,-7.6176753,0.31388152,4.512305,0.36967623
4.042012,-1.3826029,17.260534,-5.686489,0.862319,8.097009,1.5324994
2.3679986,1.2459913,16.707952,-7.8776217,0.6090417,6.055664,-2.410157
1.8879671,-1.4742631,12.961869,-5.8471003,0.4971117,7.8330684,-0.4637176
3.3311284,-0.36375174,14.048638,-4.4807215,-2.942402,8.9424095,-1.833302
0.96229756,5.6192036,0.44269133,-3.736604,-2.9341893,0.32519457,4.2657585
0.912895,0.6011067,-1.0803819,-4.7912636,-3.7190788,-0.51601976,4.73868
7.0120115,-3.2011783,7.3109665,-7.6404,-2.8452666,1.8540442,9.825669
1.4656373,0.6304451,10.638716,5.1675158,-2.729722,7.5658293,1.210134
-0.81328356,0.0071968865,9.379596,4.4042478,2.1357656,6.625194,-0.75849235
8.795531,4.3273993,3.094069,-0.3785283,-7.019329,0.9400103,-0.2665407
-6.074022,0.8114191,-1.1138391,-4.3129787,-1.8879964,-0.5360373,3.6538224
-8.686883,1.505898,-11.243345,1.8763161,-0.83641464,0.5466033,-13.729414
-9.715495,-1.8695561,-11.967165,2.0858955,-1.3197832,-0.6663216,-12.194069
6.5254064,-0.5257415,3.5911174,1.8004032,5.896365,4.1448283,-2.5960095
8.11698,3.2418282,8.355508,-2.9971006,2.8522444,7.052697,6.871887
1.3036373,1.7737274,14.639583,2.5618362,1.2425,5.6463866,-0.4141396
0.97197306,1.9491256,-2.346575,9.801904,5.0232005,3.2876084,-1.9023662
8.698943,-3.3708973,11.720369,-3.034719,-4.276537,-1.347949,10.286627
5.000017,1.6155411,17.890554,-6.349627,2.7942266,2.1901484,11.347129
8.104283,-0.43794897,16.03255,-3.0246162,-4.9641953,-0.24921523,7.6757455
9.518482,-3.3050814,15.045131,-0.2817631,-2.8105016,-2.6439128,8.030687
5.060449,-2.8281677,14.621505,-1.5039951,-3.4684963,-2.60954,10.434719
