0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
-1.8158612,-7.341053,-3.6247423,0.37881476,2.8601098,-1.5150791,1.0724646,1.1421992,-1.3692867,-0.9137525,-2.5278556,0.71319157,-2.0578327,-3.5346344,2.0121891,-2.4665403,4.4425764,0.23034711,-3.0523195,-1.5701112,-4.2630887,-1.8164829,1.2919234,-5.0258746,-0.6681501,-2.5721977,-0.70241976,-7.9696355,2.5465052
-1.3242786,-0.3039169,-0.10037619,-0.0013126256,0.086681806,-0.17298724,2.1782274,-0.04322065,-0.26602682,0.2370792,-0.19833267,0.105105564,-3.3326273,-0.6266809,0.74462163,-0.22178103,2.2580585,0.08205629,-0.6826401,-0.57320756,-1.0975461,-0.09225807,-0.6752881,-2.439697,-0.014522211,-0.3765884,-1.1136596,-1.5537667,1.5860085
1.5369176,-10.367321,-0.5391369,-0.101096414,-0.23422897,-0.42238745,-0.9540246,1.2711351,0.52082646,-0.09908111,-2.488167,2.5885782,0.07430467,-0.70640755,-1.9862232,1.8100522,-2.6634831,0.9797224,-0.8585671,-0.66365546,1.2868949,0.02718103,-0.14774647,1.1501701,-0.08934878,0.32323042,0.01281631,-2.9440503,-0.05761624
0.42801702,-4.9648557,-1.5699289,0.08016726,0.62575907,-0.52202237,0.5788907,0.8090541,0.40956965,-0.1434952,-1.3993887,3.0757318,-0.34807998,-1.5551201,-2.5877066,0.6439698,-1.2776769,0.33375245,-0.2304432,-0.26043043,-1.2998583,0.5848723,0.5957647,-1.0886796,-0.1975563,-0.271939,-0.0010648518,-4.4674067,-0.86774904
-1.041313,-2.3245566,-0.6141363,0.0074984357,0.18857248,-0.18983488,0.21880652,0.84390444,-0.2657078,-0.06255724,3.0095804,0.27533102,1.0138727,-0.48958358,1.6609395,-3.1924527,2.9938226,-0.21872418,-0.28653932,-0.106896885,-0.57553685,0.29892126,0.04485825,-0.21222396,-0.057301424,-1.4922026,-0.005741977,-0.7772034,3.8505292
-0.13452373,-6.1352305,-3.491559,0.10888499,1.0935742,-1.3676994,0.023810236,1.1319706,-0.71245354,-1.3837799,-2.0800989,0.77725893,-0.59212047,-2.6502178,0.77694046,0.6298905,2.1102126,0.31678358,-1.6254754,-1.1224389,-2.7739632,0.393357,0.57036686,-2.5438104,-0.7235423,-1.2531455,-0.6380561,-4.4456296,-1.8808631
-1.039421,-0.037049722,1.3665028,0.4340237,3.586169,-0.16078447,1.4664874,0.027198402,-0.8723649,-1.851516,0.445588,0.064254,-0.714708,-0.40959504,2.5247102,-1.7003064,2.2176297,0.008514412,-0.14481385,0.2523129,-5.2062864,0.22288579,0.7738733,-3.2542458,-0.024749257,-1.8520999,-0.22241765,3.3234136,2.25299
-0.92775786,-0.73228294,1.5280286,0.22117083,0.7782962,0.06526432,1.1485386,0.07547846,-1.2038635,-0.17132609,-0.32113716,0.07150925,-0.7712992,0.054896466,2.1769242,-8.062719,1.3268689,0.024862641,0.32902145,0.2226587,-1.4070151,0.5493901,0.50434136,-2.5012703,0.08151602,-4.3052607,-0.103827015,1.1929319,2.2325106
-1.014199,-1.6723588,1.3265475,0.26305726,2.2431524,-0.05610576,1.0881246,0.058930743,-1.737609,-0.7903585,-0.51900274,0.14408813,-1.4377509,0.77105784,1.9610358,-1.7439501,2.022672,0.09819023,-0.24923015,0.06365831,-3.4971018,0.49956432,0.91187096,-5.5618663,0.015623007,-3.4796743,-0.21404769,0.13490775,2.2363997
-1.0752472,2.8440561,-0.28451645,0.22794667,1.544183,-0.1405885,4.174818,0.046657704,-0.79353786,-0.31043497,4.4005837,0.059697103,-0.70585203,-0.35766542,3.164451,-1.8379743,2.283185,-0.008487504,-0.15779638,1.8576769,-1.9400327,0.23550922,0.7265855,-2.352852,-0.0630593,-1.7585115,-0.22162712,0.033170007,2.9731424
-1.5925398,-2.4416475,-1.5248852,0.14496101,1.2936373,-0.5377557,0.9139043,0.43829644,-1.4149842,-0.38412476,-0.8109245,0.32775232,-0.492287,-1.5135146,4.005588,-7.04531,3.369298,0.03149784,-1.2377324,-0.7047804,-2.1817312,0.28968674,0.3284302,-8.56642,-0.2558382,-1.6063468,-0.17782275,-2.965734,4.180745
