0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2.3542552,0.0009047415,0.15719225,-1.6928034,-1.4719249,0.13675253,0.0018646732,-2.0673513,-0.58675677,4.414724,-0.025620783,0.9540498,-0.15470664,-1.358514,-0.6098756,1.7501625,-3.151949,-3.220521,0.72457105
2.3461509,0.00047404674,1.3118619,-0.9037548,-0.5179546,0.040417075,-0.051844336,-2.404176,-2.7562833,0.44066894,-0.015069763,-0.15778443,1.2860779,-0.84030366,-2.0581596,0.29002103,-2.2714949,-3.684567,0.054193173
1.4194404,0.001666819,-0.03943519,-4.7238154,-0.5588748,0.039007947,0.0070215557,-2.9851153,-1.1827532,4.0981064,-0.12202085,0.35916305,-0.27505592,-2.1345851,-0.60279465,0.23520331,-2.37378,-5.1045628,0.022464179
-0.18137026,-0.0064537018,-0.678097,1.387111,7.339166,0.19908765,-0.070477374,-0.118105106,0.4323022,4.921823,-0.017174922,0.21137494,-2.4511092,2.0134144,-0.2371148,-3.1860356,-0.083395325,-0.11471827,-2.0830026
0.8171838,-0.15718412,-4.750205,1.7213542,-0.15236294,-0.4545922,0.18808028,-0.3082007,0.7810358,3.0645335,1.6248758,0.08533109,-3.5589175,0.96590555,1.9729292,-0.12449842,1.1044807,-0.7882822,0.70344317
0.26680437,-0.0064857355,-0.78948927,-0.21210778,2.12761,0.029657133,-0.04320977,-0.43983853,-1.6546257,9.048222,-0.076129876,0.6343378,-1.6102064,8.008702,-0.44268015,-0.9250898,-1.1255584,-1.2763429,-0.415572
-0.8042356,0.0009997062,3.3644214,6.1599646,-1.9589944,-0.046883054,0.010912031,-0.64093673,0.08444221,0.6279466,0.101825796,0.12197111,2.5432162,-4.6525207,1.0163546,0.11942521,0.16335088,-0.9639278,-0.18726255
-1.9490769,-0.00082197,0.81059223,7.2377934,0.42060137,-1.5625257,-0.123237036,-0.44014055,0.68014747,9.516782,-0.81241834,0.23492117,-3.5637085,0.96196777,-1.4939754,-0.18593891,-1.4560013,-1.4712989,-0.001224568
-4.2528105,-0.0009330139,-1.3409132,7.8902473,1.3731654,-1.2930287,-0.10380521,-0.6394,0.63761353,3.4010334,0.065190375,0.16882479,-3.5419605,1.4773042,-3.9552023,-0.86548775,-2.2751038,-2.5785787,-0.24109973
-2.4115212,-0.0013711944,-2.1706934,3.8873951,1.7344855,0.31617835,-0.1470107,-3.2356088,1.3034296,11.356762,0.026070904,0.9325873,-6.01428,2.2080214,-1.2470335,-0.9081577,-5.6023893,-5.739307,-0.37966427
-0.56394,-0.0039500943,-5.2546945,2.4831262,1.9063978,0.93533796,-0.30796868,-1.2176629,0.9024427,4.6335673,-0.034216035,0.45356286,-6.323117,8.314082,-3.1475601,-1.264212,-1.9419115,-1.8305945,-0.36938843
-0.7164153,-0.0015370358,-1.5414757,4.641748,2.2302766,-0.02843656,-0.103590965,-5.668769,0.9668972,6.350031,-0.050715335,0.81011117,-5.1953316,2.5197985,-1.1527911,-1.1222047,-4.6516,-5.3617716,-0.41599774
-0.4891237,-0.0051131793,-1.9622144,5.984739,4.4139047,0.22993751,-0.19550511,-1.9249324,0.8723778,12.704786,-0.21749373,1.1428982,-7.51012,5.797969,-1.030422,-1.9926317,-3.0854752,-3.1661136,-0.9731888
-0.54000556,-0.0009409356,-0.4799954,2.5577102,-0.81487954,-0.46208298,0.00441617,0.2878283,1.7826376,3.6174097,0.031079048,-0.21401604,-0.978963,-2.9419432,-5.005079,0.34047115,-1.4572175,-1.4182792,0.2600969
4.566861,0.006786941,-0.9055261,-1.7882403,2.0201201,0.027259432,-0.25364572,0.93743396,-0.66865754,0.00056448893,-0.072987184,-0.11103338,-4.19927,2.805411,-0.06768175,-1.0510824,-1.5203174,-2.120099,-0.31567276
-1.5881494,-0.0038959938,-3.0876548,3.6697857,3.0606644,0.3335535,-0.20177239,-2.414554,1.5266278,9.013326,0.0009070382,0.91857153,-8.871555,3.1992998,-1.4734887,-1.6164488,-1.3124939,-3.789498,-0.7380168
1.5875604,-0.0018230692,-2.4225283,3.1170247,2.2387493,0.24658714,-0.17514981,-2.0812445,0.1822123,11.611519,-0.0655622,1.1005217,-7.272144,2.9476976,-1.4433475,-1.1478193,-3.8042552,-3.5366,-0.5004708
