0,1,2
17.648195,-20.807756,-22.50153
17.680897,-23.669,-24.80095
17.847534,-24.587833,-26.80928
18.483284,-17.948551,-22.009747
20.96377,-16.825426,-23.271202
21.159037,-19.427666,-21.828402
11.497808,26.381887,-20.288883
14.9970045,26.29821,-21.812243
12.404041,23.883186,-21.016726
14.093718,23.761879,-21.825409
-0.76572084,-22.878206,-29.144613
-19.651398,-32.28219,-23.39148
-19.573465,-32.045578,-21.455206
-17.498585,-32.521896,-23.176584
11.862454,-31.307444,-27.303898
-0.29130942,2.5130816,-18.342163
-4.697829,-2.512736,-16.558102
13.758066,7.9970055,-14.682309
0.39261976,2.4353383,-20.257652
-0.27592692,-0.009336492,-19.348747
-2.1269627,0.7605383,-20.134706
-13.831147,-31.785828,-14.045199
-2.820741,-20.02165,-29.065157
-6.512811,28.340479,-26.797592
-7.592843,27.35475,-26.125982
-28.982271,-8.256272,3.5522525
1.8318361,-21.033802,-47.697258
5.667418,10.381326,-16.075056
4.3224096,-12.625061,-48.740604
24.776323,-6.0728316,-49.493057
20.857523,-49.95784,-14.494548
5.0692115,-24.107836,-27.63759
5.154551,12.178294,35.36387
5.10874,14.969452,35.62378
7.9230742,12.034024,36.442055
7.6157784,14.203603,34.71141
7.9656234,9.405466,33.557976
7.76033,10.8898115,32.314312
-0.22118977,4.104206,52.051437
7.6470413,20.84828,50.189137
-15.205345,-28.955502,2.4222507
0.9590188,4.9164257,52.131634
-13.28081,-27.73395,1.796438
-30.509026,10.483821,4.2998104
28.459915,-29.60569,-15.108542
5.426967,36.18617,-19.049376
1.967579,2.4090903,-2.302986
13.440056,-29.62301,-36.12551
6.464564,-50.800915,-4.254056
4.081259,-50.543186,-6.5193152
40.422417,0.038996782,0.48928696
-13.538538,26.487463,-1.8238615
12.14302,-26.089624,-28.862799
14.7231455,-27.199207,-29.257
19.21766,-31.609512,-36.052303
17.24599,-32.491,-31.99374
26.70966,-27.88143,-28.977295
16.391424,-7.4226265,-16.7842
5.1761427,-27.634108,3.470951
17.583275,-15.0843,9.318984
5.7761226,-27.694439,0.9545623
-9.530377,-25.788313,0.59918743
11.192189,-40.657585,-24.518545
33.53011,-33.90105,-36.381603
26.789173,-29.137178,-35.71825
11.722549,-27.591608,-22.871876
6.47427,3.2645597,-38.90524
11.941542,-8.683994,-24.098242
-13.428187,-26.162992,-27.474104
-33.16305,-25.337385,6.957115
18.789818,-16.831587,17.524212
3.99292,8.297468,2.3788853
19.802223,-8.155789,-48.623577
18.071419,-14.705347,17.574015
-4.545992,10.251168,-33.407757
14.400707,-24.326696,-28.960752
2.0840814,-16.935484,-24.881536
11.814684,-27.826761,-32.40539
6.6579866,2.0127017,-43.181004
-16.776289,-29.004616,10.005055
-13.819142,12.480973,42.579
-14.792709,-10.233644,-3.1799676
-15.754692,-4.2947316,-35.293774
6.984348,-39.76708,-24.477236
15.232843,3.9357018,-16.247103
15.8069105,-28.049463,-28.89027
15.388012,0.40348092,0.33578765
5.6393204,17.367044,-27.912115
22.515478,-19.495806,-38.011402
-11.255137,-31.901026,-14.815088
-5.4250546,-37.07945,-20.27349
-2.5446959,-34.551903,-20.37984
-3.9981024,-36.352825,-20.385153
-1.1711354,-36.634735,-20.947035
27.93791,8.122396,7.981117
16.637594,-4.0116644,9.192927
6.5113354,-52.47605,-1.2686226
7.76791,-52.565933,1.2858971
7.86407,-54.20623,-0.082923256
5.389937,-54.629818,1.2834374
9.46842,-46.726635,-3.326891
11.885694,-46.01354,-3.2556896
10.476918,-44.738552,-3.7395144
10.694974,-44.86971,-1.0866777
4.6614676,-49.929493,-1.0618588
4.851719,-50.65159,1.4614011
3.5751247,-51.845535,0.044955842
2.1490133,-49.569637,0.9784549
13.750414,13.037945,9.148819
8.829305,9.559061,-22.278404
6.890367,8.607788,-24.690516
12.784721,-20.94631,-28.79545
21.052832,-20.722887,3.2870507
32.395107,-31.405375,-34.010574
12.6160345,2.0335994,-39.098907
21.440138,-7.0404515,-31.022154
13.93004,-4.2325625,-26.086458
12.839434,-4.9732046,-24.899311
-13.959136,-2.5162573,-35.11481
-15.26153,-24.987125,-26.240276
-11.600392,-16.686714,-31.476156
-11.332001,-17.38011,-33.42327
-12.626614,-15.881182,-33.24951
-6.7423754,-10.56929,-25.085356
-6.2119493,-26.907473,29.763746
22.576365,14.994452,4.4271364
-3.0076644,-30.336288,-23.164234
-2.4367685,-31.368715,-24.671734
-3.0580893,-27.267424,-26.954355
-4.095609,-28.89175,-27.402943
-5.3033133,-30.063921,-28.576939
11.761535,-28.241796,-26.035631
-10.389416,34.1893,4.307414
-24.648481,13.092663,7.3304977
28.211077,-34.843983,-36.61794
-2.179374,-26.05012,-36.998024
23.348118,-28.192596,-26.834288
13.053808,-25.964647,-25.903997
20.715157,-11.814059,-14.006516
30.245054,-31.804447,-36.346813
30.854887,-28.856913,-35.92899
