0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.028447561,-1.502807,-1.3589661,-3.6177309,-2.4524128,0.17509669,0.34797025,3.4084551,0.88073283,0.048453,1.2134746,-2.4440937,2.398416,-0.013299277,1.2145727,-3.245909,0.43682244,-0.35352045,2.1111825,1.0275079
-0.014624068,-2.3674204,-0.6683108,-3.1921167,-0.94653714,3.498046,2.3167427,4.5087996,0.6438242,0.46073112,1.0878206,-3.1551201,0.24004881,-0.017461548,1.5395586,-1.6205119,0.7832648,0.009523114,1.1017472,0.20114703
0.0867492,-3.764666,-0.8792508,-4.865209,-0.69809073,0.3512197,0.6104836,1.0456594,1.1156492,0.5377604,1.5106857,-3.1556501,-0.8423689,-0.03424033,2.2502263,-2.017791,0.5061598,-0.18702361,1.8779296,0.61820304
-0.00597932,0.9006249,-1.4100585,-1.7227618,-1.8925006,1.8113496,1.3660454,-0.7424963,2.0666113,1.1821041,3.1725547,-3.2194104,0.9485841,-0.041082837,1.2791159,-0.5927158,1.4394205,-0.63920397,10.041136,1.7919358
-0.047685165,0.051555973,-1.2697641,-1.8360393,-3.0096407,1.6424986,1.3463676,-1.9833168,2.3913217,-0.21106745,3.3902297,-1.2636195,1.5854807,-0.039252326,1.4582332,-0.6550806,1.8294765,-0.5968567,6.330966,2.0658994
0.05549639,-1.5156723,0.034989495,-2.6668465,-2.5185792,1.6941966,0.80071044,0.37505674,2.0324435,2.0574129,3.0758266,-0.45470795,1.1370559,-0.045599576,1.3685297,-0.649385,0.5252801,-0.7817724,8.359849,1.123647
-0.062782876,0.86159426,-1.2575346,1.142348,-2.1278825,1.5744331,1.3704681,-0.9779979,1.1065407,0.121767096,5.3349547,-3.5944998,1.2961843,-0.07146943,1.2492051,-0.56485456,1.1080413,-0.59124756,7.164189,2.161008
0.11319774,0.80501944,-1.5031056,-1.528495,-2.955425,2.1985178,2.146195,3.86738,2.14567,0.8536763,5.1518793,-2.9062102,1.261453,-0.06423116,1.4104803,-0.7922558,1.2161678,-0.73784745,10.812671,2.9027255
0.1551014,0.43542433,-1.1791503,-6.0240636,-2.8592281,1.9287921,1.4437368,1.2357845,2.321237,0.9635755,2.762244,-1.9755012,1.3584533,-0.03384096,1.3051053,-0.76452494,1.8620868,-0.7281704,9.549432,1.9628386
0.18170582,0.8339766,-1.6026464,-1.0937531,-2.939981,2.1226525,2.1900744,5.776307,1.981655,1.0876211,5.3438363,-3.0086596,1.2589594,-0.06655926,1.4266005,-0.7371213,0.59743434,-0.73017114,15.031704,2.9680007
