0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
-1.0529442,0.6721871,0.6458299,1.239776,0.19954899,-1.1435047,0.34199798,-2.7896805,-1.1350869,-0.23091029,-0.30334127,3.4565527,8.288321,4.4506283,0.79983103,0.5522145,-6.7037964,-0.21948612,-0.07439751,2.0462608,-0.74160725,-0.67781276,-0.24683626,-1.4479499,-0.20239902,2.6120331,-3.5743716,0.35011345
-1.32139,0.2663177,2.3073103,-0.6217776,0.02721069,-0.8277256,-0.0026603625,-0.15076388,-0.6183956,-0.15775658,-0.050165527,-0.08683747,-0.5577978,-0.056650348,1.7920742,0.16510117,0.13887632,-0.06728917,0.0011842389,1.7145413,-0.2740651,-1.4809526,-0.04488926,-0.63746303,0.002785208,1.2973794,-2.5299087,-0.021528004
-0.41386178,0.096495174,0.6252553,0.60163575,1.2111152,-1.011336,-0.46990392,-3.5226169,-0.6257645,-0.16182809,-0.3860508,0.9183084,2.075103,9.193139,-0.24737468,0.346899,-3.0450578,-0.081580184,-0.09852379,0.93114924,-0.24542877,-0.10147096,-0.08783191,-0.7380895,-0.28552678,1.5294573,-1.4543377,1.6698565
0.07198283,-0.23851071,-0.25626755,0.16450433,-1.6921122,-0.4715322,0.10130612,0.4148336,-0.36591482,0.67361975,0.059852917,0.4521647,2.2806017,-1.0071473,-0.49762076,0.39690095,-0.5414438,0.046079192,0.053542934,-2.452129,0.122624926,0.35212445,-0.023545703,-0.19374901,0.091097884,1.0114295,-0.88767445,0.12522186
0.03397074,0.325776,0.33510566,1.0982871,-0.25241026,-1.0710158,0.34387004,-1.0457128,-0.7847416,-0.19846025,1.8954769,0.87996435,3.827266,3.8919947,3.1787004,2.2467973,-0.61948746,-0.090945184,-0.084756576,1.2837304,-0.46729434,-0.3476923,-0.23997195,-0.7965057,-0.0028000916,1.5428711,-1.4372102,0.9273998
-0.45759776,0.2242273,-3.1347275,0.49807936,4.916471,-1.2129482,-0.00065006176,-1.90285,-0.7684277,-0.20807089,-2.349417,0.87793577,2.2959998,0.57541096,0.57475966,-3.6165216,-0.46643803,-0.09320196,-0.068492234,1.8638569,-0.23411594,-1.353356,0.1754279,-1.1567122,-0.0097487075,2.1278794,-2.9670563,-0.051258355
-0.048007894,0.1444115,1.0300092,0.60759205,0.71175206,-0.12940358,2.909871,-1.7403864,-0.23467843,-0.15651847,0.011838646,1.0013986,0.84237176,4.1899652,0.46668622,0.8829895,-2.0793417,-0.0915925,-0.19253299,-0.27089858,-0.4067859,-0.6995351,-0.9211871,-0.009451108,-0.0703196,-0.31619933,1.3990217,0.7975949
0.69307184,1.1163656,0.68228185,0.28543395,2.1537085,1.0664837,0.1089475,-0.27266923,0.48990425,-0.7531762,-0.02182553,1.9176223,-0.08005303,1.0823759,0.2557578,0.55638105,-0.95610917,-1.1660389,0.007228468,-1.1867296,-1.1036589,1.1920632,-0.061584897,0.8956443,-0.010462948,-2.0088284,1.7507521,0.055352803
0.068261065,0.05556873,0.6529242,1.1970332,2.5531673,0.1736317,0.39305294,-4.67432,-0.027966365,-0.02327631,0.20214699,0.6501452,1.640984,5.17631,2.2048616,-0.016368452,-1.4215338,-0.04656415,-0.09517698,-0.73526603,-0.18359686,-0.5163608,-0.2685742,0.13261084,-0.123690225,-0.71494204,5.5617194,0.59946525
2.271503,0.24326244,0.9954616,1.6343557,6.7743244,-0.71748805,-0.66890955,1.0766567,-0.8144971,0.045581732,-0.9865958,0.693242,2.1033888,2.0319436,0.46239215,1.2229346,-0.43256888,-0.079518594,-0.001596192,0.8143828,-0.11815301,-1.6462243,-0.1643202,-0.46843344,-0.04673432,0.829946,-1.6590557,0.51530015
