0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0.32470688,-1.9513615,-2.9109466,2.7729309,-0.38083866,2.1778405,0.2143226,-0.31946734,-0.17764348,-0.13535377,-1.873824,-0.5296005,-3.3056636,0.015565365,-1.0031232,0.54115105,-0.28953353,-1.9280018,7.6360154,-0.05132394,-0.36771706,-2.144179,0.8723312,1.168198,-0.50543416,1.0866971,5.521979
0.3216553,-1.6373086,-2.8336596,4.0313635,-0.279074,1.0537133,0.2341294,-1.806591,-0.21954672,-0.22167915,-1.7494311,-0.30411932,-2.4751384,0.74224585,-0.86213964,-2.3522105,-0.9331682,-2.8722243,8.776145,-1.2898314,-0.45787084,-2.0292768,0.4428093,1.7794285,-1.0001725,0.9164924,8.393316
0.31845877,-1.5490363,-2.7779465,2.1497726,-0.3283364,1.3212155,0.07795083,-0.6769066,-0.10989593,-0.123355344,-1.6429738,-0.25265825,-2.9732773,0.31395495,-0.11660104,-6.430763,-0.5964774,-2.2600734,5.377576,-2.8438447,-0.41162708,-1.792741,0.5663246,5.6808133,-0.57129383,0.81758696,4.7637696
0.31768075,-1.5399964,-2.7227383,5.5066543,-0.44710532,1.3285275,0.3206856,-2.4374876,-0.25474527,-0.30130157,-1.6902798,-0.28565022,-2.0306437,1.0637668,-1.098271,-1.9945122,-0.6784425,-2.7942653,11.509387,-1.0195913,-0.4469378,-2.8866007,0.2946923,1.4440342,-1.5440025,0.8696857,11.787046
0.101249725,-1.61724,-3.1626406,1.6329839,-0.12747669,1.7329824,-0.22292379,-0.30364704,-0.0539366,-0.0395653,-1.6629641,-0.30019647,-4.304143,0.15730163,2.0824265,-4.6748886,-0.51103455,-1.369038,4.914532,-2.6370893,-0.42941034,-1.0888449,0.75561166,3.3496363,-0.2487522,0.45722896,1.9532857
0.6152009,-1.5389982,-2.7871099,2.4774024,-0.41355047,0.9990136,0.34084484,-1.8794656,-0.12228536,-0.11479823,-1.5776279,-0.29950348,-2.0142505,0.73766136,-1.2947204,-1.9057972,-1.3950586,-5.5603595,5.363521,-1.1028037,-0.49318504,-2.606774,-0.39189944,1.376539,-0.81214166,0.85806733,4.701521
0.17833872,-1.6090199,-3.069571,1.4831041,-0.009132622,1.9330872,-0.25795183,-0.20718879,-0.03590286,-0.026776088,-1.7172971,-0.34765863,-3.7312388,-0.032739643,1.7346491,-8.091898,-0.90344757,-1.4357189,3.886555,-5.198422,-0.42349663,-1.535311,1.1349676,5.1311383,-0.34810388,0.7143391,1.5043944
0.70304054,-3.320918,-7.2562666,0.6444929,-0.30818036,3.3672855,-2.4296331,-0.47246274,-0.08746506,-0.04875696,-3.1875448,-0.6873137,-0.5331978,0.056962036,-0.47765148,-0.3221829,-2.2349184,-10.392018,1.5422553,-0.1334208,-1.2722319,-1.9837435,1.467786,-0.6714182,-0.19495742,0.22641134,1.2836955
0.24779707,1.4124956,0.18906821,1.5414375,-0.30885145,2.0142128,-0.81793666,0.06295014,-0.013727573,0.003369556,-0.42247054,0.45742202,0.021911671,-0.01694421,0.28198305,-0.08683239,-2.8642933,-0.13906972,-0.12006326,0.03816722,-0.09533946,0.5093968,1.995853,0.0130467545,0.077400394,0.023078999,3.484759
0.30918753,-0.012978837,-1.2439407,1.2605884,-0.35192302,2.5715303,1.05486,-0.41280907,-0.049459323,-0.04197515,-0.3998799,-0.50343335,-0.5858988,2.0306973,-5.235414,-0.34956554,-1.2849835,-2.5558817,2.7052586,-0.16702765,-0.3633002,-1.3394358,2.228302,0.09589305,-0.64400464,0.14338048,3.6550171
0.46348122,-1.1014429,-1.4589783,-0.10260987,0.12163877,4.578647,-0.4410166,0.14624804,-0.0055759796,0.016872006,-0.7457491,-0.3339698,2.3639228,0.023562972,0.17097883,0.41354036,0.87488586,-1.5741518,-0.4797752,0.007714998,-0.21229666,-0.04873647,0.79223734,-0.06536858,0.42876953,-1.2705879,-3.293869
