0,1,2,3,4,5,6,7,8,9,10,11
-4.9849567,0.44957322,3.6880407,7.8773956,-4.2308855,7.056085,-0.9051622,-0.3572641,0.10435689,0.2238489,4.505191,-0.4758805
-5.317838,1.93581,2.3897767,6.28713,-4.367339,8.823513,1.8971059,-1.3502198,0.031401817,-0.04764034,-0.3559155,-0.40680695
-7.409722,-0.13987315,4.0126777,6.557874,-7.856404,6.0474353,0.35829386,0.76367927,0.047151003,-0.48494497,1.541052,0.80031145
-4.902288,1.7284724,2.4567244,5.72433,-4.0975766,12.234184,1.7076426,0.8091057,0.013503986,-0.18646787,2.2599926,-1.7185522
-7.154564,-0.5892979,-0.19709975,7.0653787,-8.859343,3.9914968,-1.2673228,-0.07157136,0.05757275,-0.88788474,2.0648057,1.840931
-4.7998266,2.5551615,1.918202,6.4132643,-7.7217355,8.910883,3.1693716,0.69517857,0.009856596,-0.403293,2.1131554,-1.5811957
-7.9588776,-0.43784738,1.302854,5.6560216,-13.140111,4.252127,-1.6677161,0.7039864,0.033252455,-0.07186119,1.7780267,0.8528923
-2.3538146,2.029805,8.743226,8.664116,2.9206057,0.64568496,-5.590296,0.6584481,0.07539929,-0.45860416,6.486172,-1.6932079
-4.260348,-1.7409523,-0.25404447,-2.6169703,-1.9332658,5.4123263,-5.3084946,1.7826223,0.048341326,1.1823717,0.03377151,2.2997465
-3.302488,3.5197585,5.844171,2.2813325,-0.38288802,1.86975,1.1069046,0.012608108,0.187343,-0.017755397,6.9194508,-3.7453103
-0.1460302,-0.26639012,3.6064014,1.6723359,2.4077525,-0.4208823,5.5498233,-0.14286415,3.4533327,-0.37957516,2.8022208,-0.374624
-0.0791439,5.559771,3.6070676,6.040068,3.7041094,0.50526226,0.039167296,-2.5412133,-0.22106679,-0.47617245,-0.19253135,-3.071943
-11.811967,1.8147924,0.64007574,0.56740576,-1.2657894,0.99183637,-6.534252,-0.32860982,-0.054391257,-1.1135412,0.21338198,-0.8987356
-0.109336026,4.1009107,1.4191661,3.9832783,1.609278,0.7920879,4.623858,-0.06434199,-0.083683886,0.84700626,1.0255221,3.5114617
7.0253882,1.343229,-0.88640505,4.4308043,-4.286196,-0.48386824,0.19795685,-0.8435611,-0.035396487,-0.25558737,0.07857516,-0.8187107
-0.6511304,6.529689,1.8045579,2.8687787,1.0812559,0.7683311,5.8088965,-1.0976709,0.13291015,1.2658516,1.3491318,0.09114966
-9.857019,2.5909808,0.5517538,2.2341535,-1.3728179,1.9439503,-1.381491,1.045035,0.012663608,3.3779187,-0.5052501,-1.4669913
-2.554885,0.5066268,-0.42953444,2.6645315,-2.3727865,8.584852,-4.912111,2.2798038,0.4261177,0.6783349,-0.10958963,-0.34893206
-11.402341,1.69891,1.6943861,5.0694804,-0.5858002,1.6481999,2.3358686,1.7595633,0.08038937,0.051505495,3.6847925,0.1256494
4.007384,-6.932127,-0.13723557,3.2814353,-1.6236165,-2.7491984,-5.4624176,-0.195278,-0.07257917,0.47683516,-0.8876957,-0.055895884
-6.8023767,3.2097065,3.3209047,5.6874847,-1.970611,2.5432777,-10.404367,0.5447071,0.47713688,-0.5163455,5.4846215,-5.773775
-2.0868497,-0.57517946,6.424564,5.9656205,-2.0925386,1.7028553,-7.604469,-0.14759295,0.43102494,0.32017386,5.64122,-0.10562022
-7.8128333,4.331002,5.439427,9.93543,-1.5726007,4.730309,-7.369472,0.9444742,-0.97263443,-0.55469143,4.963856,-1.4845978
-6.419566,6.4618263,4.756463,6.971596,-5.912103,4.9377832,-1.0679377,4.2075872,0.01137038,-1.5845525,3.0034974,-5.495437
-4.340379,2.4676147,4.1338134,15.642015,-3.7202508,0.64379823,-6.048693,1.4206616,-0.22014573,-0.6279173,3.6775665,-3.4890978
-8.004339,6.0448136,5.6364436,11.329134,-1.4620601,3.2913988,-0.2597866,1.2942405,-0.025517339,-0.63271266,4.93734,-6.944341
0.9615682,0.89105916,4.282808,3.4976003,5.248293,5.402083,-0.15580535,1.148617,-0.045883056,-0.11099068,4.3604,0.743825
-5.647939,1.7627513,1.861126,-5.427745,-5.4686785,3.8328714,-0.5898621,0.46407008,0.08749996,-1.0066543,1.3124787,-0.22920522
-6.987704,7.861986,5.5017147,11.573062,-2.4307356,3.0323029,-3.5003579,1.0998981,0.07169323,-1.0350845,5.002723,-2.1758091
-6.0314856,6.7852206,4.9855576,10.429357,-0.8745108,6.0162263,-5.8824024,1.0298088,0.10300477,-1.07812,5.499938,-6.1984878
-5.2305007,4.451078,5.5404706,12.807326,-3.6828477,4.2722135,-4.898415,0.71713156,0.35818884,0.3959421,8.107209,-3.9464388
