0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
-2.057124,-0.027905768,1.7274146,-0.34826183,0.035839185,-0.05816274,-2.4266195,0.08232136,0.020201594,-1.5978763,2.7364788,-1.8850487,-0.76749325,-0.006128235,0.9258368,0.6867924,0.6578849,0.4854837,-0.69118744,-0.1786525,-1.3202502,-0.19059013,0.018735323,0.0047173803,-0.3854019,-0.46829274
2.0264158,-0.80955344,-0.23335749,-1.5312794,-0.07204708,0.17411089,0.058258813,0.0007001951,0.0053938013,-0.6270582,-5.4507174,-0.79194146,-2.4204245,0.5844482,2.037621,-0.19734618,-0.37096214,2.708056,-1.8490417,1.0783406,-1.2023406,-0.6821266,0.14839788,1.456046,-0.03510541,0.21227455
-1.2214347,-0.48211706,0.39069706,1.7588769,0.018535884,-0.050767,0.8891951,0.012698456,0.021344423,1.4730672,1.4620788,1.0205908,2.6481745,-0.023288941,0.6539912,-1.5872912,-8.022209,1.7691172,-1.2263304,4.391811,-5.119176,-0.9106318,-0.25006226,0.6173985,0.4107308,0.64863265
-2.326071,-0.5014193,0.47775364,1.1657382,0.016353441,-0.071702875,0.74496293,0.017579705,0.010078215,0.6985813,2.9766161,-0.23256236,2.6658237,-0.2424129,1.0958326,-1.1100688,-0.31743953,1.8896662,1.8577014,2.0269127,-1.2571155,2.2179096,0.12669607,1.1263994,0.19547501,0.3654229
-1.3787303,-0.5761257,0.29797456,1.5714604,0.08857101,-0.2553203,0.40585253,0.011878878,0.017559854,0.6788726,3.9642806,1.8355653,0.18870707,-0.17903098,0.47719795,-2.0422838,-1.2720102,0.19719087,1.1232661,3.7234716,-2.8540287,-0.77592427,-1.2699453,-0.4776237,0.4181272,4.82345
-2.345566,0.2598108,1.2625804,0.19373041,0.0035626106,-0.02702078,0.72531694,0.032738402,-0.028618788,4.998915,2.8801494,-0.091384836,0.36294004,0.15990008,-1.1909548,2.7306974,0.22760618,0.33749858,-0.86574227,-0.2804338,0.7877332,-2.109235,-0.290959,-1.334859,-0.33003685,-0.99403614
-3.675495,-1.3699019,0.76983446,0.3280441,0.06507677,-0.1821396,1.3352313,0.048950642,0.009566357,7.51069,5.693844,7.7168775,0.6305173,-0.17491531,2.6385665,-2.1842284,-1.018688,5.319386,-3.0225136,3.1979868,-2.7513273,-1.1856419,-0.5490298,3.112236,0.32503045,0.6564635
-1.5433128,-0.85387176,0.5174251,-0.29441786,0.08722185,-0.21319287,2.0839262,0.020979274,0.0065997196,7.1576395,6.3409486,0.662079,-1.5540802,-1.5935576,1.3985033,0.46104813,-0.34601623,5.502188,-5.475,1.2114183,-1.5326883,-1.618994,-4.240211,2.6984475,-0.03187122,-0.11425977
-1.5190023,-1.7852182,0.33237013,0.42482254,0.12081871,-0.32411882,0.8396983,0.014758742,0.027451517,1.5065296,9.939384,1.1201568,0.7405392,-0.56569237,0.119288445,-2.8743775,-1.1801858,7.193404,-4.0597935,3.7167628,-3.316543,-2.0016494,-1.7767301,4.141242,0.5525113,0.7127907
-0.85081947,-1.4025471,0.117542386,0.5198307,0.037300207,-0.10022098,0.61544985,0.0047229584,0.02109774,0.8096725,3.1883793,0.08773131,0.57952124,-0.18293487,1.8887985,-3.7919776,-4.5645413,4.8284616,-2.817898,9.687593,-1.9288381,-1.0377786,-0.5824318,2.9942648,2.9077494,1.3183044
