0,1,2,3,4,5,6,7,8,9,10,11,12,13
1.682766,-0.44729456,-2.3116338,0.29848954,-0.28238332,-0.8088082,6.2527742,-1.0055867,-3.8617275,1.4293038,0.048562247,-1.1144935,0.18446384,-0.9741494
10.634412,-3.2465913,-3.0405033,-2.0083668,-0.42571,1.3129736,1.7072229,0.7001417,-0.08165008,-3.9766517,5.6924205,-6.017549,-0.19662252,-0.040949695
-0.7636716,2.6051404,-0.25912154,-0.14722386,0.5127332,-2.3997788,1.1942557,0.31121033,4.1577916,-1.8219599,-1.9660866,-2.8399074,0.38598278,-0.010099232
0.11005506,-0.4692082,-1.4076031,-0.22818512,0.032857228,8.658245,-5.9319334,0.24597722,-1.107302,0.1349386,0.8548014,0.38518015,0.025045404,0.022591298
-2.3991232,-3.1173153,-0.15068801,-1.8953373,0.10834055,-1.8661798,0.6840108,-1.7812659,0.26834154,-5.609825,0.38402283,-0.011164922,0.7389375,1.5392526
-1.2753197,-3.8851695,-1.5004041,-0.511616,0.08265093,-3.3322976,-0.05047148,1.2304686,0.5247376,-3.2001307,-1.6589471,2.158717,0.05685888,0.037485573
-2.2609806,-3.9347653,2.1530085,-0.39392433,0.023203684,-0.4354203,-0.8143049,-0.53520465,0.19087058,-8.036197,1.2925668,-0.22865821,0.0875726,-0.092378646
4.0934362,0.17837042,5.048389,-0.43902925,0.01676825,3.5636327,5.451923,0.84949553,0.19459344,-3.2644248,4.7511806,-2.135488,-0.30054322,0.19848403
3.0804856,-0.7623391,-6.0452075,-1.8102796,-0.39786634,0.60057974,1.2578027,1.6866926,-0.36766523,0.4244261,0.77729917,-6.420743,-0.94231325,-3.1953394
-0.09782698,0.40555272,-2.1459546,-0.023374258,0.01753483,-8.561501,6.2813764,1.1371728,-0.29976344,0.59893686,-1.1826867,0.53096443,0.032889187,-0.28651622
8.248054,-2.1588016,-6.144604,-0.90423167,0.051886123,3.5147104,4.184895,3.0154908,-0.062142365,-1.5127553,1.792383,-0.8730864,-0.78299505,-1.3516489
0.14953797,-5.0917473,-4.409495,-2.544276,-0.5459215,2.1949282,4.449749,3.2965403,-0.12963998,-3.2744968,8.104937,-0.72522914,0.013195232,0.24701096
11.026309,-3.6790786,-2.6674252,-2.515305,-0.77826977,0.8582735,12.625197,1.4159597,-0.14266472,-3.725616,6.5485234,-5.6439533,-0.023513172,-0.13930514
1.09768,0.23643553,1.8242053,-1.0994961,1.1865114,1.9878739,3.6759975,-0.70125115,1.8827213,-1.1830645,-0.43079492,-1.1617273,1.4572239,-0.46816856
-1.4081981,1.2336622,-6.2742963,0.45452678,-0.10277813,-0.31350312,-2.235626,1.4492211,2.845953,0.6877749,-0.75718766,-0.5775725,0.03886562,2.292863
